15:54:09.475509 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 4, length 64
15:54:09.798780 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 4, length 64
15:54:10.476686 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 5, length 64
15:54:10.799850 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 5, length 64
15:54:11.477778 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 6, length 64
15:54:11.800825 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 6, length 64
15:54:12.478741 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 7, length 64
15:54:12.801416 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 7, length 64
15:54:13.480329 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 8, length 64
15:54:13.803265 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 8, length 64
15:54:14.481167 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 9, length 64
15:54:14.806912 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 9, length 64
15:54:15.482834 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 10, length 64
15:54:15.805798 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 10, length 64
15:54:16.483703 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 11, length 64
15:54:16.806563 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 11, length 64
15:54:17.484469 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 12, length 64
15:54:17.807411 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 12, length 64
15:54:18.485316 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 13, length 64
15:54:18.808590 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 13, length 64
15:54:19.486492 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 14, length 64
15:54:19.809562 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 14, length 64
15:54:20.487467 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 15, length 64
15:54:20.810443 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 15, length 64
15:54:21.488356 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 16, length 64
15:54:21.811114 IP 185.216.34.100 > 10.8.2.19: ICMP echo reply, id 334, seq 16, length 64
15:54:22.490049 IP 10.8.2.19 > 185.216.34.100: ICMP echo request, id 334, seq 17, length 64
