16:07:52.134203 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 2, length 64
16:07:52.485268 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 2, length 64
16:07:53.135204 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 3, length 64
16:07:53.485751 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 3, length 64
16:07:54.136642 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 4, length 64
16:07:54.486795 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 4, length 64
16:07:55.137678 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 5, length 64
16:07:55.488315 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 5, length 64
16:07:56.139195 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 6, length 64
16:07:56.489753 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 6, length 64
16:07:57.140639 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 7, length 64
16:07:58.171239 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 8, length 64
16:07:59.195259 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 9, length 64
16:07:59.239261 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 7, length 64
16:07:59.239323 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 8, length 64
16:07:59.545866 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 9, length 64
16:08:00.196759 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 10, length 64
16:08:00.547201 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 10, length 64
16:08:01.198081 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 11, length 64
16:08:01.549081 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 11, length 64
16:08:02.198960 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 12, length 64
16:08:03.227250 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 13, length 64
16:08:03.648199 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 12, length 64
16:08:03.648527 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 13, length 64
16:08:04.228335 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 14, length 64
16:08:04.579471 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 14, length 64
16:08:05.229347 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 15, length 64
16:08:05.579931 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 15, length 64
16:08:06.230817 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 16, length 64
16:08:06.581419 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 16, length 64
16:08:07.232300 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 17, length 64
16:08:07.582618 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 17, length 64
16:08:08.233498 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 18, length 64
16:08:08.584250 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 18, length 64
16:08:09.235131 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 19, length 64
16:08:09.585637 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 19, length 64
16:08:10.236523 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 20, length 64
16:08:10.587709 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 20, length 64
16:08:11.237583 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 21, length 64
16:08:11.588287 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 21, length 64
16:08:12.239193 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 22, length 64
16:08:12.591483 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 22, length 64
16:08:13.240360 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 23, length 64
16:08:14.267241 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 24, length 64
16:08:15.291252 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 25, length 64
16:08:15.642782 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 25, length 64
16:08:16.292665 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 26, length 64
16:08:16.642994 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 26, length 64
16:08:17.293870 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 27, length 64
16:08:17.644589 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 27, length 64
16:08:18.295257 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 28, length 64
16:08:18.647509 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 28, length 64
16:08:19.296396 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 29, length 64
16:08:19.646896 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 29, length 64
16:08:20.297772 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 30, length 64
16:08:20.648148 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 30, length 64
16:08:21.299027 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 31, length 64
16:08:21.649790 IP 91.239.206.147 > 10.8.2.19: ICMP echo reply, id 387, seq 31, length 64
16:08:22.300682 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 32, length 64
16:08:23.323242 IP 10.8.2.19 > 91.239.206.147: ICMP echo request, id 387, seq 33, length 64
