16:13:08.236045 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 3, length 64
16:13:08.659789 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 3, length 64
16:13:09.237597 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 4, length 64
16:13:09.662493 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 4, length 64
16:13:10.238310 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 5, length 64
16:13:10.662297 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 5, length 64
16:13:11.239088 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 6, length 64
16:13:11.662930 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 6, length 64
16:13:12.240725 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 7, length 64
16:13:12.665353 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 7, length 64
16:13:13.242154 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 8, length 64
16:13:13.666246 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 8, length 64
16:13:14.243040 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 9, length 64
16:13:14.667207 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 9, length 64
16:13:15.244009 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 10, length 64
16:13:15.668472 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 10, length 64
16:13:16.245267 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 11, length 64
16:13:16.669675 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 11, length 64
16:13:17.246471 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 12, length 64
16:13:17.670658 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 12, length 64
16:13:18.247452 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 13, length 64
16:13:18.671177 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 13, length 64
16:13:19.248943 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 14, length 64
16:13:19.673014 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 14, length 64
16:13:20.249816 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 15, length 64
16:13:20.673923 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 15, length 64
16:13:21.250716 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 16, length 64
16:13:21.676136 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 16, length 64
16:13:22.251928 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 17, length 64
16:13:22.682954 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 17, length 64
16:13:23.252752 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 18, length 64
16:13:23.677124 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 18, length 64
16:13:24.253925 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 19, length 64
16:13:24.683052 IP 103.156.51.81 > 10.8.2.19: ICMP echo reply, id 405, seq 19, length 64
16:13:25.254880 IP 10.8.2.19 > 103.156.51.81: ICMP echo request, id 405, seq 20, length 64
