13:43:33.778960 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 1, length 64
13:43:34.316272 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 1, length 64
13:43:35.189087 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 2, length 64
13:43:35.726556 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 2, length 64
13:43:36.190205 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 3, length 64
13:43:36.775177 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 3, length 64
13:43:37.190839 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 4, length 64
13:43:37.745962 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 4, length 64
13:43:38.191675 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 5, length 64
13:43:39.198217 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 6, length 64
13:43:40.222210 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 7, length 64
13:43:40.801594 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 7, length 64
13:43:41.223261 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 8, length 64
13:43:41.818963 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 8, length 64
13:43:42.224606 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 9, length 64
13:43:42.813230 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 9, length 64
13:43:43.225881 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 10, length 64
13:43:43.801842 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 10, length 64
13:43:44.226508 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 11, length 64
13:43:44.806453 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 11, length 64
13:43:45.227102 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 12, length 64
13:43:46.238228 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 13, length 64
13:43:46.852066 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 13, length 64
13:43:47.238683 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 14, length 64
13:43:47.831492 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 14, length 64
13:43:48.240127 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 15, length 64
13:43:49.246211 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 16, length 64
13:43:49.842751 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 16, length 64
13:43:50.247386 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 17, length 64
13:43:50.870365 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 17, length 64
13:43:51.247977 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 18, length 64
13:43:51.806144 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 18, length 64
13:43:52.248822 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 19, length 64
13:43:52.813019 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 19, length 64
13:43:53.249677 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 20, length 64
13:43:53.828411 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 20, length 64
13:43:54.251055 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 21, length 64
13:43:54.788190 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 21, length 64
13:43:55.251874 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 22, length 64
13:43:55.792218 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 22, length 64
13:43:56.252900 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 23, length 64
13:43:56.790287 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 23, length 64
13:43:57.253975 IP 10.8.0.2 > 84.17.41.130: ICMP echo request, id 2088, seq 24, length 64
13:43:57.793516 IP 84.17.41.130 > 10.8.0.2: ICMP echo reply, id 2088, seq 24, length 64
