20:32:42.750824 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 2, length 64
20:32:43.096470 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 2, length 64
20:32:43.751379 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 3, length 64
20:32:44.097027 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 3, length 64
20:32:44.751907 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 4, length 64
20:32:45.097837 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 4, length 64
20:32:45.751718 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 5, length 64
20:32:46.097421 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 5, length 64
20:32:46.752309 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 6, length 64
20:32:47.098012 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 6, length 64
20:32:47.752899 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 7, length 64
20:32:48.099030 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 7, length 64
20:32:48.752907 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 8, length 64
20:32:49.098874 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 8, length 64
20:32:49.752751 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 9, length 64
20:32:50.098640 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 9, length 64
20:32:50.752526 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 10, length 64
20:32:51.772199 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 11, length 64
20:32:52.796201 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 12, length 64
20:32:53.085663 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 10, length 64
20:32:53.179688 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 11, length 64
20:32:53.179744 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 12, length 64
20:32:53.796551 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 13, length 64
20:32:54.142459 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 13, length 64
20:32:54.796235 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 14, length 64
20:32:55.142072 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 14, length 64
20:32:55.795962 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 15, length 64
20:32:56.141694 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 15, length 64
20:32:56.796581 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 16, length 64
20:32:57.142364 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 16, length 64
20:32:57.797250 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 17, length 64
20:32:58.145296 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 17, length 64
20:32:58.797179 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 18, length 64
20:32:59.804214 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 19, length 64
20:33:00.152301 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 19, length 64
20:33:00.804211 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 20, length 64
20:33:01.152284 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 20, length 64
20:33:01.804172 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 21, length 64
20:33:02.152374 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 21, length 64
20:33:02.804218 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 22, length 64
20:33:03.151953 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 22, length 64
20:33:03.804747 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 23, length 64
20:33:04.152712 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 23, length 64
20:33:04.804596 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 24, length 64
20:33:05.152891 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 24, length 64
20:33:05.804781 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 25, length 64
20:33:06.152705 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 25, length 64
20:33:06.804596 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 26, length 64
20:33:07.153108 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 26, length 64
20:33:07.804994 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 27, length 64
20:33:08.153066 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 27, length 64
20:33:08.804953 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 28, length 64
20:33:09.152896 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 28, length 64
20:33:09.804772 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 29, length 64
20:33:10.152715 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 29, length 64
20:33:10.804611 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 30, length 64
20:33:11.152508 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 30, length 64
20:33:11.804397 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 31, length 64
20:33:12.150322 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 31, length 64
20:33:12.804222 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 32, length 64
20:33:13.149872 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 32, length 64
20:33:13.804751 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 33, length 64
20:33:14.150537 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 33, length 64
20:33:14.805433 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 34, length 64
20:33:15.836194 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 35, length 64
20:33:16.182070 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 35, length 64
20:33:16.835958 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 36, length 64
20:33:17.181905 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 36, length 64
20:33:17.835785 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 37, length 64
20:33:18.181554 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 37, length 64
20:33:18.836217 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 38, length 64
20:33:19.181934 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 38, length 64
20:33:19.836202 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 39, length 64
20:33:20.181967 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 39, length 64
20:33:20.836765 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 40, length 64
20:33:21.182962 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 40, length 64
20:33:21.836878 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 41, length 64
20:33:22.182755 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 41, length 64
20:33:22.836651 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 42, length 64
20:33:23.182485 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 42, length 64
20:33:23.837364 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 43, length 64
20:33:24.183150 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 43, length 64
20:33:24.837996 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 44, length 64
20:33:25.183536 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 44, length 64
20:33:25.838302 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 45, length 64
20:33:26.184600 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 45, length 64
20:33:26.838492 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 46, length 64
20:33:27.184365 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 46, length 64
20:33:27.838255 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 47, length 64
20:33:28.184023 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 47, length 64
20:33:28.838915 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 48, length 64
20:33:29.184772 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 48, length 64
20:33:29.838664 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 49, length 64
20:33:30.184343 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 49, length 64
20:33:30.839236 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 50, length 64
20:33:31.185348 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 50, length 64
20:33:31.839233 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 51, length 64
20:33:32.184970 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 51, length 64
20:33:32.839861 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 52, length 64
20:33:33.185593 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 52, length 64
20:33:33.840486 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 53, length 64
20:33:34.186553 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 53, length 64
20:33:34.840440 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 54, length 64
20:33:35.186149 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 54, length 64
20:33:35.841035 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 55, length 64
20:33:36.186789 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 55, length 64
20:33:36.841679 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 56, length 64
20:33:37.187986 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 56, length 64
20:33:37.841889 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 57, length 64
20:33:38.187569 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 57, length 64
20:33:38.842460 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 58, length 64
20:33:39.188593 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 58, length 64
20:33:39.842480 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 59, length 64
20:33:40.189373 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 59, length 64
20:33:40.842260 IP 10.8.2.4 > 91.239.206.147: ICMP echo request, id 551, seq 60, length 64
20:33:41.188196 IP 91.239.206.147 > 10.8.2.4: ICMP echo reply, id 551, seq 60, length 64
