20:28:36.946887 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 2, length 64
20:28:37.231059 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 2, length 64
20:28:37.947002 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 3, length 64
20:28:38.231335 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 3, length 64
20:28:38.947283 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 4, length 64
20:28:39.231545 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 4, length 64
20:28:39.947493 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 5, length 64
20:28:40.231774 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 5, length 64
20:28:40.947699 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 6, length 64
20:28:41.231969 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 6, length 64
20:28:41.947931 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 7, length 64
20:28:42.232321 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 7, length 64
20:28:42.948198 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 8, length 64
20:28:43.232614 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 8, length 64
20:28:43.948562 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 9, length 64
20:28:44.233027 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 9, length 64
20:28:44.948969 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 10, length 64
20:28:45.233579 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 10, length 64
20:28:45.949521 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 11, length 64
20:28:46.233794 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 11, length 64
20:28:46.949740 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 12, length 64
20:28:47.234124 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 12, length 64
20:28:47.950059 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 13, length 64
20:28:48.234020 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 13, length 64
20:28:48.949967 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 14, length 64
20:28:49.234144 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 14, length 64
20:28:49.950092 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 15, length 64
20:28:50.234330 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 15, length 64
20:28:50.950273 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 16, length 64
20:28:51.234532 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 16, length 64
20:28:51.950476 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 17, length 64
20:28:52.234708 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 17, length 64
20:28:52.950649 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 18, length 64
20:28:53.234738 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 18, length 64
20:28:53.950676 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 19, length 64
20:28:54.236514 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 19, length 64
20:28:54.950470 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 20, length 64
20:28:55.234745 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 20, length 64
20:28:55.950692 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 21, length 64
20:28:56.243915 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 21, length 64
20:28:56.950860 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 22, length 64
20:28:57.235680 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 22, length 64
20:28:57.951626 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 23, length 64
20:28:58.235900 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 23, length 64
20:28:58.951847 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 24, length 64
20:28:59.236238 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 24, length 64
20:28:59.952204 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 25, length 64
20:29:00.236204 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 25, length 64
20:29:00.952152 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 26, length 64
20:29:01.236287 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 26, length 64
20:29:01.952244 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 27, length 64
20:29:02.236730 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 27, length 64
20:29:02.952681 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 28, length 64
20:29:03.236858 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 28, length 64
20:29:03.952800 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 29, length 64
20:29:04.241876 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 29, length 64
20:29:04.952825 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 30, length 64
20:29:05.237428 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 30, length 64
20:29:05.953379 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 31, length 64
20:29:06.237704 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 31, length 64
20:29:06.953658 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 32, length 64
20:29:07.238015 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 32, length 64
20:29:07.953964 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 33, length 64
20:29:08.238400 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 33, length 64
20:29:08.954343 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 34, length 64
20:29:09.239411 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 34, length 64
20:29:09.954354 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 35, length 64
20:29:10.238463 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 35, length 64
20:29:10.954368 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 36, length 64
20:29:11.238636 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 36, length 64
20:29:11.954585 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 37, length 64
20:29:12.238603 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 37, length 64
20:29:12.954554 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 38, length 64
20:29:13.239007 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 38, length 64
20:29:13.954959 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 39, length 64
20:29:14.239067 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 39, length 64
20:29:14.955020 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 40, length 64
20:29:15.239613 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 40, length 64
20:29:15.955496 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 41, length 64
20:29:16.242364 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 41, length 64
20:29:16.955392 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 42, length 64
20:29:17.240035 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 42, length 64
20:29:17.956001 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 43, length 64
20:29:18.240408 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 43, length 64
20:29:18.956356 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 44, length 64
20:29:19.240592 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 44, length 64
20:29:19.956548 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 45, length 64
20:29:20.241008 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 45, length 64
20:29:20.956970 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 46, length 64
20:29:21.244143 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 46, length 64
20:29:21.957093 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 47, length 64
20:29:22.241368 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 47, length 64
20:29:22.957316 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 48, length 64
20:29:23.241563 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 48, length 64
20:29:23.957503 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 49, length 64
20:29:24.241559 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 49, length 64
20:29:24.957504 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 50, length 64
20:29:25.242172 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 50, length 64
20:29:25.958111 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 51, length 64
20:29:26.242608 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 51, length 64
20:29:26.958553 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 52, length 64
20:29:27.242744 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 52, length 64
20:29:27.958700 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 53, length 64
20:29:28.249936 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 53, length 64
20:29:28.958886 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 54, length 64
20:29:29.242937 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 54, length 64
20:29:29.958889 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 55, length 64
20:29:30.243596 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 55, length 64
20:29:30.959538 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 56, length 64
20:29:31.243746 IP 84.247.48.83 > 10.8.2.4: ICMP echo reply, id 535, seq 56, length 64
20:29:31.959693 IP 10.8.2.4 > 84.247.48.83: ICMP echo request, id 535, seq 57, length 64
