20:34:46.357508 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 1, length 64
20:34:46.763621 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 1, length 64
20:34:47.679144 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 2, length 64
20:34:48.085443 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 2, length 64
20:34:48.679285 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 3, length 64
20:34:49.087228 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 3, length 64
20:34:49.679067 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 4, length 64
20:34:50.086427 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 4, length 64
20:34:50.679266 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 5, length 64
20:34:51.085957 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 5, length 64
20:34:51.679795 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 6, length 64
20:34:52.700193 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 7, length 64
20:34:53.724212 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 8, length 64
20:34:53.734646 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 6, length 64
20:34:53.734824 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 7, length 64
20:34:54.130478 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 8, length 64
20:34:54.724306 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 9, length 64
20:34:55.132413 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 9, length 64
20:34:55.724245 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 10, length 64
20:34:56.131095 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 10, length 64
20:34:56.723918 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 11, length 64
20:34:57.130674 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 11, length 64
20:34:57.724511 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 12, length 64
20:34:58.131876 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 12, length 64
20:34:58.724710 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 13, length 64
20:34:59.132667 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 13, length 64
20:34:59.724491 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 14, length 64
20:35:00.131035 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 14, length 64
20:35:00.724865 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 15, length 64
20:35:01.131309 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 15, length 64
20:35:01.725135 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 16, length 64
20:35:02.131203 IP 202.87.221.198 > 10.8.2.4: ICMP echo reply, id 560, seq 16, length 64
20:35:02.725027 IP 10.8.2.4 > 202.87.221.198: ICMP echo request, id 560, seq 17, length 64
