20:39:03.767259 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 2, length 64
20:39:04.164232 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 2, length 64
20:39:04.767073 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 3, length 64
20:39:05.163998 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 3, length 64
20:39:05.766856 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 4, length 64
20:39:06.163870 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 4, length 64
20:39:06.766710 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 5, length 64
20:39:07.164025 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 5, length 64
20:39:07.766868 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 6, length 64
20:39:08.164056 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 6, length 64
20:39:08.766891 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 7, length 64
20:39:09.163865 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 7, length 64
20:39:09.766697 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 8, length 64
20:39:10.163681 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 8, length 64
20:39:10.766527 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 9, length 64
20:39:11.772199 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 10, length 64
20:39:12.796199 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 11, length 64
20:39:13.318280 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 9, length 64
20:39:13.318334 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 10, length 64
20:39:13.318353 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 11, length 64
20:39:13.796041 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 12, length 64
20:39:14.193294 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 12, length 64
20:39:14.796162 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 13, length 64
20:39:15.193143 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 13, length 64
20:39:15.795986 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 14, length 64
20:39:16.192865 IP 194.60.86.3 > 10.8.2.4: ICMP echo reply, id 573, seq 14, length 64
20:39:16.795708 IP 10.8.2.4 > 194.60.86.3: ICMP echo request, id 573, seq 15, length 64
