15:45:47.297303 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 2, length 64
15:45:47.802794 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 2, length 64
15:45:48.298537 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 3, length 64
15:45:48.803969 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 3, length 64
15:45:49.299692 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 4, length 64
15:45:49.804992 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 4, length 64
15:45:50.300720 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 5, length 64
15:45:50.811839 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 5, length 64
15:45:51.301556 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 6, length 64
15:45:51.807632 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 6, length 64
15:45:52.302354 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 7, length 64
15:45:52.807657 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 7, length 64
15:45:53.303379 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 8, length 64
15:45:53.808928 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 8, length 64
15:45:54.304650 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 9, length 64
15:45:54.809791 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 9, length 64
15:45:55.305514 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 10, length 64
15:45:55.810758 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 10, length 64
15:45:56.306481 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 11, length 64
15:45:56.811624 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 11, length 64
15:45:57.307348 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 12, length 64
15:45:57.819439 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 12, length 64
15:45:58.308152 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 13, length 64
15:45:58.813559 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 13, length 64
15:45:59.309282 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 14, length 64
15:45:59.814671 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 14, length 64
15:46:00.310395 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 15, length 64
15:46:00.815848 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 15, length 64
15:46:01.311570 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 16, length 64
15:46:01.816745 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 16, length 64
15:46:02.312474 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 17, length 64
15:46:02.819926 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 17, length 64
15:46:03.313649 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 18, length 64
15:46:03.819569 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 18, length 64
15:46:04.314290 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 19, length 64
15:46:04.820301 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 19, length 64
15:46:05.315022 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 20, length 64
15:46:05.820393 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 20, length 64
15:46:06.316136 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 21, length 64
15:46:06.821361 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 21, length 64
15:46:07.317090 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 22, length 64
15:46:07.822459 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 22, length 64
15:46:08.318187 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 23, length 64
15:46:08.827011 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 23, length 64
15:46:09.318754 IP 10.8.2.13 > 45.228.209.43: ICMP echo request, id 304, seq 24, length 64
15:46:09.844055 IP 45.228.209.43 > 10.8.2.13: ICMP echo reply, id 304, seq 24, length 64
