15:37:35.596871 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 1, length 64
15:37:36.001246 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 1, length 64
15:37:36.925725 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 2, length 64
15:37:37.323718 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 2, length 64
15:37:37.925543 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 3, length 64
15:37:38.323801 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 3, length 64
15:37:38.925608 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 4, length 64
15:37:39.359618 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 4, length 64
15:37:39.925381 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 5, length 64
15:37:40.366694 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 5, length 64
15:37:40.925448 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 6, length 64
15:37:41.355430 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 6, length 64
15:37:41.925200 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 7, length 64
15:37:42.323179 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 7, length 64
15:37:42.924978 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 8, length 64
15:37:43.323945 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 8, length 64
15:37:43.924746 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 9, length 64
15:37:44.326738 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 9, length 64
15:37:44.924544 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 10, length 64
15:37:45.322560 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 10, length 64
15:37:45.924363 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 11, length 64
15:37:46.322565 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 11, length 64
15:37:46.924370 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 12, length 64
15:37:47.322394 IP 86.106.137.187 > 10.8.2.13: ICMP echo reply, id 274, seq 12, length 64
15:37:47.924193 IP 10.8.2.13 > 86.106.137.187: ICMP echo request, id 274, seq 13, length 64
