17:20:59.636602 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 1, length 64
17:21:00.016609 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 1, length 64
17:21:01.124911 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 2, length 64
17:21:01.504575 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 2, length 64
17:21:02.126443 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 3, length 64
17:21:02.506101 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 3, length 64
17:21:03.127932 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 4, length 64
17:21:03.507678 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 4, length 64
17:21:04.129516 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 5, length 64
17:21:04.509098 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 5, length 64
17:21:05.130935 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 6, length 64
17:21:05.511067 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 6, length 64
17:21:06.131908 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 7, length 64
17:21:06.511667 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 7, length 64
17:21:07.133491 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 8, length 64
17:21:07.513219 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 8, length 64
17:21:08.135060 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 9, length 64
17:21:08.514718 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 9, length 64
17:21:09.136579 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 10, length 64
17:21:09.516257 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 10, length 64
17:21:10.138096 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 11, length 64
17:21:10.517608 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 11, length 64
17:21:11.139458 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 12, length 64
17:21:11.519408 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 12, length 64
17:21:12.140256 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 13, length 64
17:21:12.520573 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 13, length 64
17:21:13.141423 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 14, length 64
17:21:13.521149 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 14, length 64
17:21:14.143002 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 15, length 64
17:21:14.523299 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 15, length 64
17:21:15.144081 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 16, length 64
17:21:15.523690 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 16, length 64
17:21:16.145503 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 17, length 64
17:21:16.525132 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 17, length 64
17:21:17.146996 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 18, length 64
17:21:17.527121 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 18, length 64
17:21:18.147995 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 19, length 64
17:21:18.527508 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 19, length 64
17:21:19.149357 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 20, length 64
17:21:19.528896 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 20, length 64
17:21:20.150746 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 21, length 64
17:21:20.530171 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 21, length 64
17:21:21.151945 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 22, length 64
17:21:21.531483 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 22, length 64
17:21:22.153317 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 23, length 64
17:21:22.533052 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 23, length 64
17:21:23.154919 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 24, length 64
17:21:23.536239 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 24, length 64
17:21:24.156130 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 25, length 64
17:21:24.537338 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 25, length 64
17:21:25.157203 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 26, length 64
17:21:25.536988 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 26, length 64
17:21:26.158852 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 27, length 64
17:21:26.538927 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 27, length 64
17:21:27.159231 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 28, length 64
17:21:27.538960 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 28, length 64
17:21:28.160795 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 29, length 64
17:21:28.540456 IP 89.238.186.244 > 10.8.0.10: ICMP echo reply, id 664, seq 29, length 64
17:21:29.162309 IP 10.8.0.10 > 89.238.186.244: ICMP echo request, id 664, seq 30, length 64
