17:24:03.872170 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 1, length 64
17:24:04.259355 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 1, length 64
17:24:05.605033 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 2, length 64
17:24:05.992331 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 2, length 64
17:24:06.606185 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 3, length 64
17:24:06.993270 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 3, length 64
17:24:07.607107 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 4, length 64
17:24:07.994217 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 4, length 64
17:24:08.608052 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 5, length 64
17:24:08.995272 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 5, length 64
17:24:09.609117 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 6, length 64
17:24:09.996263 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 6, length 64
17:24:10.610098 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 7, length 64
17:24:10.997344 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 7, length 64
17:24:11.611191 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 8, length 64
17:24:11.998636 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 8, length 64
17:24:12.612476 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 9, length 64
17:24:12.999875 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 9, length 64
17:24:13.613703 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 10, length 64
17:24:14.000992 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 10, length 64
17:24:14.613807 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 11, length 64
17:24:15.001051 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 11, length 64
17:24:15.613891 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 12, length 64
17:24:16.001269 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 12, length 64
17:24:16.614100 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 13, length 64
17:24:17.001356 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 13, length 64
17:24:17.614193 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 14, length 64
17:24:18.001712 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 14, length 64
17:24:18.614549 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 15, length 64
17:24:19.002016 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 15, length 64
17:24:19.614863 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 16, length 64
17:24:20.002344 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 16, length 64
17:24:20.615186 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 17, length 64
17:24:21.002358 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 17, length 64
17:24:21.615202 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 18, length 64
17:24:22.002569 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 18, length 64
17:24:22.615415 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 19, length 64
17:24:23.002820 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 19, length 64
17:24:23.615660 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 20, length 64
17:24:24.002992 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 20, length 64
17:24:24.615839 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 21, length 64
17:24:25.003130 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 21, length 64
17:24:25.615962 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 22, length 64
17:24:26.002941 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 22, length 64
17:24:26.615779 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 23, length 64
17:24:27.021454 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 23, length 64
17:24:27.616274 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 24, length 64
17:24:28.003489 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 24, length 64
17:24:28.616327 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 25, length 64
17:24:29.003727 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 25, length 64
17:24:29.616569 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 26, length 64
17:24:30.003732 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 26, length 64
17:24:30.616581 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 27, length 64
17:24:31.003725 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 27, length 64
17:24:31.616527 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 28, length 64
17:24:32.003715 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 28, length 64
17:24:32.616528 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 29, length 64
17:24:33.003912 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 29, length 64
17:24:33.616742 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 30, length 64
17:24:34.004098 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 30, length 64
17:24:34.616934 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 31, length 64
17:24:35.004091 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 31, length 64
17:24:35.616928 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 32, length 64
17:24:36.004109 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 32, length 64
17:24:36.616946 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 33, length 64
17:24:37.004310 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 33, length 64
17:24:37.617153 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 34, length 64
17:24:38.004257 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 34, length 64
17:24:38.617096 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 35, length 64
17:24:39.004654 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 35, length 64
17:24:39.617497 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 36, length 64
17:24:40.004645 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 36, length 64
17:24:40.617486 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 37, length 64
17:24:41.005076 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 37, length 64
17:24:41.617919 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 38, length 64
17:24:42.006069 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 38, length 64
17:24:42.617900 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 39, length 64
17:24:43.005324 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 39, length 64
17:24:43.618166 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 40, length 64
17:24:44.005814 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 40, length 64
17:24:44.618658 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 41, length 64
17:24:45.006031 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 41, length 64
17:24:45.618877 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 42, length 64
17:24:46.006014 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 42, length 64
17:24:46.618860 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 43, length 64
17:24:47.005990 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 43, length 64
17:24:47.618797 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 44, length 64
17:24:48.006402 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 44, length 64
17:24:48.619216 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 45, length 64
17:24:49.006606 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 45, length 64
17:24:49.619238 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 46, length 64
17:24:50.006160 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 46, length 64
17:24:50.618964 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 47, length 64
17:24:51.005969 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 47, length 64
17:24:51.618771 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 48, length 64
17:24:52.006129 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 48, length 64
17:24:52.618934 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 49, length 64
17:24:53.006315 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 49, length 64
17:24:53.619121 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 50, length 64
17:24:54.006101 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 50, length 64
17:24:54.618901 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 51, length 64
17:24:55.006011 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 51, length 64
17:24:55.618808 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 52, length 64
17:24:56.005913 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 52, length 64
17:24:56.618714 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 53, length 64
17:24:57.006164 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 53, length 64
17:24:57.618967 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 54, length 64
17:24:58.006093 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 54, length 64
17:24:58.618891 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 55, length 64
17:24:59.006207 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 55, length 64
17:24:59.619005 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 56, length 64
17:25:00.006232 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 56, length 64
17:25:00.619034 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 57, length 64
17:25:01.007279 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 57, length 64
17:25:01.619079 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 58, length 64
17:25:02.006672 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 58, length 64
17:25:02.619477 IP 10.8.0.10 > 104.237.193.147: ICMP echo request, id 676, seq 59, length 64
17:25:03.006688 IP 104.237.193.147 > 10.8.0.10: ICMP echo reply, id 676, seq 59, length 64
