17:53:46.314513 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 1, length 64
17:53:48.921096 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 2, length 64
17:53:49.354782 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 2, length 64
17:53:49.921581 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 3, length 64
17:53:50.355346 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 3, length 64
17:53:50.922135 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 4, length 64
17:53:51.356521 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 4, length 64
17:53:51.922305 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 5, length 64
17:53:52.355840 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 5, length 64
17:53:52.922636 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 6, length 64
17:53:53.947236 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 7, length 64
17:53:54.971233 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 8, length 64
17:53:55.125158 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 6, length 64
17:53:55.412539 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 7, length 64
17:53:55.412599 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 8, length 64
17:53:55.971359 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 9, length 64
17:53:56.405138 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 9, length 64
17:53:56.971940 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 10, length 64
17:53:57.405762 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 10, length 64
17:53:57.972558 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 11, length 64
17:53:58.406210 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 11, length 64
17:53:58.973000 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 12, length 64
17:53:59.407450 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 12, length 64
17:53:59.973244 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 13, length 64
17:54:00.987223 IP 10.8.2.5 > 31.171.152.19: ICMP echo request, id 789, seq 14, length 64
17:54:01.996973 IP 31.171.152.19 > 10.8.2.5: ICMP echo reply, id 789, seq 13, length 64
