17:41:29.607534 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 1, length 64
17:41:31.555252 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 2, length 64
17:41:31.965342 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 2, length 64
17:41:32.556191 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 3, length 64
17:41:32.966340 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 3, length 64
17:41:33.557144 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 4, length 64
17:41:33.967540 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 4, length 64
17:41:34.558348 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 5, length 64
17:41:34.979948 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 5, length 64
17:41:35.559759 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 6, length 64
17:41:36.571247 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 7, length 64
17:41:37.595302 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 8, length 64
17:41:37.649568 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 6, length 64
17:41:37.649778 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 7, length 64
17:41:38.006760 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 8, length 64
17:41:38.595264 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 9, length 64
17:41:39.005773 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 9, length 64
17:41:39.595249 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 10, length 64
17:41:40.009904 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 10, length 64
17:41:40.595260 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 11, length 64
17:41:41.005373 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 11, length 64
17:41:41.595206 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 12, length 64
17:41:42.018490 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 12, length 64
17:41:42.595248 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 13, length 64
17:41:43.005984 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 13, length 64
17:41:43.595205 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 14, length 64
17:41:44.011263 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 14, length 64
17:41:44.595066 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 15, length 64
17:41:45.007485 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 15, length 64
17:41:45.595226 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 16, length 64
17:41:46.005315 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 16, length 64
17:41:46.595168 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 17, length 64
17:41:47.009367 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 17, length 64
17:41:47.595209 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 18, length 64
17:41:48.007123 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 18, length 64
17:41:48.594921 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 19, length 64
17:41:49.005937 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 19, length 64
17:41:49.594753 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 20, length 64
17:41:50.008129 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 20, length 64
17:41:50.594945 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 21, length 64
17:41:51.008114 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 21, length 64
17:41:51.594938 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 22, length 64
17:41:52.005924 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 22, length 64
17:41:52.594737 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 23, length 64
17:41:53.005176 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 23, length 64
17:41:53.594995 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 24, length 64
17:41:54.013151 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 24, length 64
17:41:54.594966 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 25, length 64
17:41:55.015205 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 25, length 64
17:41:55.595011 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 26, length 64
17:41:56.004912 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 26, length 64
17:41:56.594731 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 27, length 64
17:41:57.007271 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 27, length 64
17:41:57.595108 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 28, length 64
17:41:58.005256 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 28, length 64
17:41:58.595097 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 29, length 64
17:41:59.010435 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 29, length 64
17:41:59.595208 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 30, length 64
17:42:00.006221 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 30, length 64
17:42:00.595043 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 31, length 64
17:42:01.005424 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 31, length 64
17:42:01.595248 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 32, length 64
17:42:02.005224 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 32, length 64
17:42:02.595033 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 33, length 64
17:42:03.005048 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 33, length 64
17:42:03.594853 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 34, length 64
17:42:04.007634 IP 82.102.19.137 > 10.8.2.5: ICMP echo reply, id 741, seq 34, length 64
17:42:04.595443 IP 10.8.2.5 > 82.102.19.137: ICMP echo request, id 741, seq 35, length 64
