17:41:29.523668 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 1, length 64
17:41:29.965323 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 1, length 64
17:41:31.072184 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 2, length 64
17:41:31.513531 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 2, length 64
17:41:32.073344 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 3, length 64
17:41:32.515178 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 3, length 64
17:41:33.074957 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 4, length 64
17:41:33.516374 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 4, length 64
17:41:34.076158 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 5, length 64
17:41:34.517585 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 5, length 64
17:41:35.077369 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 6, length 64
17:41:36.091238 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 7, length 64
17:41:37.115235 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 8, length 64
17:41:37.385974 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 6, length 64
17:41:37.681013 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 7, length 64
17:41:37.681075 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 8, length 64
17:41:38.116703 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 9, length 64
17:41:38.558016 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 9, length 64
17:41:39.117805 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 10, length 64
17:41:39.559210 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 10, length 64
17:41:40.118992 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 11, length 64
17:41:40.560152 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 11, length 64
17:41:41.119940 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 12, length 64
17:41:41.561412 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 12, length 64
17:41:42.121195 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 13, length 64
17:41:42.562851 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 13, length 64
17:41:43.122642 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 14, length 64
17:41:43.564795 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 14, length 64
17:41:44.123587 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 15, length 64
17:41:44.564865 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 15, length 64
17:41:45.124656 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 16, length 64
17:41:45.566046 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 16, length 64
17:41:46.125843 IP 10.8.2.5 > 185.189.114.28: ICMP echo request, id 742, seq 17, length 64
17:41:46.567911 IP 185.189.114.28 > 10.8.2.5: ICMP echo reply, id 742, seq 17, length 64
