21:40:32.712431 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 1, length 64
21:40:33.043465 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 1, length 64
21:40:34.529381 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 2, length 64
21:40:34.859988 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 2, length 64
21:40:35.530861 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 3, length 64
21:40:35.861911 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 3, length 64
21:40:36.531725 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 4, length 64
21:40:36.862718 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 4, length 64
21:40:37.532613 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 5, length 64
21:40:37.863219 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 5, length 64
21:40:38.534093 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 6, length 64
21:40:38.866506 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 6, length 64
21:40:39.535382 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 7, length 64
21:40:39.866221 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 7, length 64
21:40:40.536113 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 8, length 64
21:40:40.869767 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 8, length 64
21:40:41.537665 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 9, length 64
21:40:41.868387 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 9, length 64
21:40:42.539265 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 10, length 64
21:40:42.870281 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 10, length 64
21:40:43.540170 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 11, length 64
21:40:43.870912 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 11, length 64
21:40:44.541804 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 12, length 64
21:40:44.872906 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 12, length 64
21:40:45.542782 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 13, length 64
21:40:45.874092 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 13, length 64
21:40:46.543991 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 14, length 64
21:40:46.874719 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 14, length 64
21:40:47.545577 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 15, length 64
21:40:47.876220 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 15, length 64
21:40:48.547111 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 16, length 64
21:40:48.878761 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 16, length 64
21:40:49.548615 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 17, length 64
21:40:49.879450 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 17, length 64
21:40:50.550326 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 18, length 64
21:40:50.881229 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 18, length 64
21:40:51.551121 IP 10.8.1.7 > 172.83.40.219: ICMP echo request, id 5, seq 19, length 64
21:40:51.882113 IP 172.83.40.219 > 10.8.1.7: ICMP echo reply, id 5, seq 19, length 64
