18:12:19.962598 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 2, length 64
18:12:20.300493 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 2, length 64
18:12:20.962388 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 3, length 64
18:12:21.300550 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 3, length 64
18:12:21.962439 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 4, length 64
18:12:22.308749 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 4, length 64
18:12:22.962632 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 5, length 64
18:12:23.300372 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 5, length 64
18:12:23.963272 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 6, length 64
18:12:24.302119 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 6, length 64
18:12:24.963008 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 7, length 64
18:12:25.301126 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 7, length 64
18:12:25.963015 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 8, length 64
18:12:26.301118 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 8, length 64
18:12:26.963008 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 9, length 64
18:12:27.300958 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 9, length 64
18:12:27.962855 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 10, length 64
18:12:28.302422 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 10, length 64
18:12:28.963314 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 11, length 64
18:12:29.301162 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 11, length 64
18:12:29.963053 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 12, length 64
18:12:30.301223 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 12, length 64
18:12:30.963115 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 13, length 64
18:12:31.301789 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 13, length 64
18:12:31.963688 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 14, length 64
18:12:32.301603 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 14, length 64
18:12:32.963496 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 15, length 64
18:12:33.301450 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 15, length 64
18:12:33.963337 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 16, length 64
18:12:34.971248 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 17, length 64
18:12:35.309735 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 17, length 64
18:12:35.971626 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 18, length 64
18:12:36.310010 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 18, length 64
18:12:36.971842 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 19, length 64
18:12:37.309449 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 19, length 64
18:12:37.972350 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 20, length 64
18:12:38.310077 IP 37.120.209.163 > 10.8.2.7: ICMP echo reply, id 857, seq 20, length 64
18:12:38.972971 IP 10.8.2.7 > 37.120.209.163: ICMP echo request, id 857, seq 21, length 64
