18:05:07.529159 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 1, length 64
18:05:08.566822 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 2, length 64
18:05:08.907820 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 2, length 64
18:05:09.567737 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 3, length 64
18:05:09.905521 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 3, length 64
18:05:10.569426 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 4, length 64
18:05:10.907397 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 4, length 64
18:05:11.570298 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 5, length 64
18:05:11.908213 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 5, length 64
18:05:12.571105 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 6, length 64
18:05:12.911611 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 6, length 64
18:05:13.572489 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 7, length 64
18:05:13.910213 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 7, length 64
18:05:14.574096 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 8, length 64
18:05:14.913655 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 8, length 64
18:05:15.575545 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 9, length 64
18:05:15.913641 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 9, length 64
18:05:16.576524 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 10, length 64
18:05:16.914399 IP 45.35.93.146 > 10.8.2.7: ICMP echo reply, id 831, seq 10, length 64
18:05:17.577287 IP 10.8.2.7 > 45.35.93.146: ICMP echo request, id 831, seq 11, length 64
