19:20:24.433778 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 2, length 64
19:20:24.966415 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 2, length 64
19:20:25.435121 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 3, length 64
19:20:25.945934 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 3, length 64
19:20:26.436665 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 4, length 64
19:20:26.979451 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 4, length 64
19:20:27.438149 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 5, length 64
19:20:28.443272 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 6, length 64
19:20:28.946707 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 6, length 64
19:20:29.444455 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 7, length 64
19:20:29.947772 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 7, length 64
19:20:30.445521 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 8, length 64
19:20:30.949205 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 8, length 64
19:20:31.446950 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 9, length 64
19:20:31.961579 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 9, length 64
19:20:32.448316 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 10, length 64
19:20:32.954029 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 10, length 64
19:20:33.449778 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 11, length 64
19:20:33.991405 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 11, length 64
19:20:34.451112 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 12, length 64
19:20:34.954676 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 12, length 64
19:20:35.452423 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 13, length 64
19:20:35.956888 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 13, length 64
19:20:36.453643 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 14, length 64
19:20:37.021924 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 14, length 64
19:20:37.453604 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 15, length 64
19:20:37.979168 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 15, length 64
19:20:38.454903 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 16, length 64
19:20:38.962154 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 16, length 64
19:20:39.455897 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 17, length 64
19:20:40.001989 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 17, length 64
19:20:40.455699 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 18, length 64
19:20:40.959516 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 18, length 64
19:20:41.457253 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 19, length 64
19:20:41.960863 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 19, length 64
19:20:42.458612 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 20, length 64
19:20:42.962698 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 20, length 64
19:20:43.459125 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 21, length 64
19:20:43.985841 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 21, length 64
19:20:44.460563 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 22, length 64
19:20:44.989095 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 22, length 64
19:20:45.461818 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 23, length 64
19:20:45.965125 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 23, length 64
19:20:46.462884 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 24, length 64
19:20:46.966370 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 24, length 64
19:20:47.464089 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 25, length 64
19:20:47.972930 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 25, length 64
19:20:48.464662 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 26, length 64
19:20:49.467268 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 27, length 64
19:20:49.970992 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 27, length 64
19:20:50.468767 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 28, length 64
19:20:50.972791 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 28, length 64
19:20:51.469513 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 29, length 64
19:20:52.475258 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 30, length 64
19:20:52.978669 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 30, length 64
19:20:53.476417 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 31, length 64
19:20:54.491260 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 32, length 64
19:20:54.994623 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 32, length 64
19:20:55.492377 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 33, length 64
19:20:56.507258 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 34, length 64
19:20:57.010563 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 34, length 64
19:20:57.507266 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 35, length 64
19:20:58.012907 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 35, length 64
19:20:58.507667 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 36, length 64
19:20:59.011423 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 36, length 64
19:20:59.508170 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 37, length 64
19:21:00.040429 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 37, length 64
19:21:00.508149 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 38, length 64
19:21:01.057681 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 38, length 64
19:21:01.508380 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 39, length 64
19:21:02.045486 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 39, length 64
19:21:02.508211 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 40, length 64
19:21:03.061276 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 40, length 64
19:21:03.507981 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 41, length 64
19:21:04.041561 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 41, length 64
19:21:04.508282 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 42, length 64
19:21:05.052889 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 42, length 64
19:21:05.508599 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 43, length 64
19:21:06.012144 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 43, length 64
19:21:06.508891 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 44, length 64
19:21:07.046992 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 44, length 64
19:21:07.508721 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 45, length 64
19:21:08.539256 IP 10.8.2.8 > 131.255.4.122: ICMP echo request, id 1112, seq 46, length 64
19:21:09.116981 IP 131.255.4.122 > 10.8.2.8: ICMP echo reply, id 1112, seq 46, length 64
