19:15:13.177476 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 1, length 64
19:15:13.753563 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 2, length 64
19:15:14.175511 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 2, length 64
19:15:14.753310 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 3, length 64
19:15:15.175794 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 3, length 64
19:15:15.753584 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 4, length 64
19:15:16.175998 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 4, length 64
19:15:16.753788 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 5, length 64
19:15:17.179401 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 5, length 64
19:15:17.754190 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 6, length 64
19:15:18.176627 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 6, length 64
19:15:18.754416 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 7, length 64
19:15:19.176450 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 7, length 64
19:15:19.754239 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 8, length 64
19:15:20.176472 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 8, length 64
19:15:20.754259 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 9, length 64
19:15:21.176689 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 9, length 64
19:15:21.754474 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 10, length 64
19:15:22.176708 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 10, length 64
19:15:22.754496 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 11, length 64
19:15:23.176724 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 11, length 64
19:15:23.754522 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 12, length 64
19:15:24.176609 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 12, length 64
19:15:24.754400 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 13, length 64
19:15:25.176580 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 13, length 64
19:15:25.754436 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 14, length 64
19:15:26.176780 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 14, length 64
19:15:26.754604 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 15, length 64
19:15:27.176999 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 15, length 64
19:15:27.754819 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 16, length 64
19:15:28.177053 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 16, length 64
19:15:28.754875 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 17, length 64
19:15:29.177012 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 17, length 64
19:15:29.754834 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 18, length 64
19:15:30.177261 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 18, length 64
19:15:30.755091 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 19, length 64
19:15:31.178083 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 19, length 64
19:15:31.754906 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 20, length 64
19:15:32.177540 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 20, length 64
19:15:32.755367 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 21, length 64
19:15:33.177741 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 21, length 64
19:15:33.755563 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 22, length 64
19:15:34.177881 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 22, length 64
19:15:34.755708 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 23, length 64
19:15:35.179001 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 23, length 64
19:15:35.755263 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 24, length 64
19:15:36.763304 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 25, length 64
19:15:37.787274 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 26, length 64
19:15:37.920299 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 24, length 64
19:15:38.205987 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 25, length 64
19:15:38.221440 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 26, length 64
19:15:38.787244 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 27, length 64
19:15:39.209663 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 27, length 64
19:15:39.787479 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 28, length 64
19:15:40.209666 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 28, length 64
19:15:40.787479 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 29, length 64
19:15:41.210062 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 29, length 64
19:15:41.787889 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 30, length 64
19:15:42.210934 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 30, length 64
19:15:42.787767 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 31, length 64
19:15:43.277415 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 31, length 64
19:15:43.788148 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 32, length 64
19:15:44.210521 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 32, length 64
19:15:44.788329 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 33, length 64
19:15:45.212388 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 33, length 64
19:15:45.788200 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 34, length 64
19:15:46.210828 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 34, length 64
19:15:46.788664 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 35, length 64
19:15:47.211222 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 35, length 64
19:15:47.789055 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 36, length 64
19:15:48.211866 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 36, length 64
19:15:48.788704 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 37, length 64
19:15:49.211060 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 37, length 64
19:15:49.788893 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 38, length 64
19:15:50.213063 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 38, length 64
19:15:50.788873 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 39, length 64
19:15:51.211342 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 39, length 64
19:15:51.789154 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 40, length 64
19:15:52.211498 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 40, length 64
19:15:52.789319 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 41, length 64
19:15:53.211776 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 41, length 64
19:15:53.789596 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 42, length 64
19:15:54.213740 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 42, length 64
19:15:54.789576 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 43, length 64
19:15:55.211792 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 43, length 64
19:15:55.789606 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 44, length 64
19:15:56.212011 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 44, length 64
19:15:56.789837 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 45, length 64
19:15:57.211788 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 45, length 64
19:15:57.789612 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 46, length 64
19:15:58.211861 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 46, length 64
19:15:58.789684 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 47, length 64
19:15:59.211884 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 47, length 64
19:15:59.789710 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 48, length 64
19:16:00.212278 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 48, length 64
19:16:00.790099 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 49, length 64
19:16:01.217280 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 49, length 64
19:16:01.790089 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 50, length 64
19:16:02.214109 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 50, length 64
19:16:02.789923 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 51, length 64
19:16:03.213713 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 51, length 64
19:16:03.790538 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 52, length 64
19:16:04.212750 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 52, length 64
19:16:04.790541 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 53, length 64
19:16:05.212961 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 53, length 64
19:16:05.790787 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 54, length 64
19:16:06.226540 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 54, length 64
19:16:06.791257 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 55, length 64
19:16:07.215771 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 55, length 64
19:16:07.791284 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 56, length 64
19:16:08.213889 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 56, length 64
19:16:08.791229 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 57, length 64
19:16:09.222640 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 57, length 64
19:16:09.791221 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 58, length 64
19:16:10.215854 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 58, length 64
19:16:10.791243 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 59, length 64
19:16:11.214496 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 59, length 64
19:16:11.791257 IP 10.8.2.8 > 217.138.200.179: ICMP echo request, id 1093, seq 60, length 64
19:16:12.213574 IP 217.138.200.179 > 10.8.2.8: ICMP echo reply, id 1093, seq 60, length 64
