19:17:15.601890 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 1, length 64
19:17:15.817518 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 1, length 64
19:17:16.823949 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 2, length 64
19:17:17.039473 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 2, length 64
19:17:17.824515 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 3, length 64
19:17:18.040297 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 3, length 64
19:17:18.825311 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 4, length 64
19:17:19.040935 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 4, length 64
19:17:19.825977 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 5, length 64
19:17:20.041567 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 5, length 64
19:17:20.826599 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 6, length 64
19:17:21.042397 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 6, length 64
19:17:21.827421 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 7, length 64
19:17:22.043557 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 7, length 64
19:17:22.827586 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 8, length 64
19:17:23.043218 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 8, length 64
19:17:23.828246 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 9, length 64
19:17:24.044054 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 9, length 64
19:17:24.829077 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 10, length 64
19:17:25.044656 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 10, length 64
19:17:25.829681 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 11, length 64
19:17:26.045426 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 11, length 64
19:17:26.830453 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 12, length 64
19:17:27.046091 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 12, length 64
19:17:27.831116 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 13, length 64
19:17:28.047131 IP 103.107.198.131 > 10.8.2.8: ICMP echo reply, id 1102, seq 13, length 64
19:17:28.831181 IP 10.8.2.8 > 103.107.198.131: ICMP echo request, id 1102, seq 14, length 64
