19:14:13.069533 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 2, length 64
19:14:13.448880 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 2, length 64
19:14:14.070759 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 3, length 64
19:14:14.451300 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 3, length 64
19:14:15.072162 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 4, length 64
19:14:15.452142 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 4, length 64
19:14:16.072997 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 5, length 64
19:14:16.452370 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 5, length 64
19:14:17.074229 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 6, length 64
19:14:17.453598 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 6, length 64
19:14:18.075463 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 7, length 64
19:14:18.454851 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 7, length 64
19:14:19.076714 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 8, length 64
19:14:19.455787 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 8, length 64
19:14:20.077650 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 9, length 64
19:14:20.457217 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 9, length 64
19:14:21.079083 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 10, length 64
19:14:21.458634 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 10, length 64
19:14:22.080496 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 11, length 64
19:14:22.460253 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 11, length 64
19:14:23.082122 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 12, length 64
19:14:23.461512 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 12, length 64
19:14:24.083373 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 13, length 64
19:14:24.462969 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 13, length 64
19:14:25.084839 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 14, length 64
19:14:25.465351 IP 103.4.30.123 > 10.8.2.8: ICMP echo reply, id 1088, seq 14, length 64
19:14:26.086229 IP 10.8.2.8 > 103.4.30.123: ICMP echo request, id 1088, seq 15, length 64
