01:05:28.639743 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 1, length 64
01:05:28.963135 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 1, length 64
01:05:34.248594 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 2, length 64
01:05:34.625589 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 2, length 64
01:05:35.249450 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 3, length 64
01:05:36.252219 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 4, length 64
01:05:36.583779 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 4, length 64
01:05:37.253689 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 5, length 64
01:05:37.584197 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 5, length 64
01:05:38.255107 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 6, length 64
01:05:38.587503 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 6, length 64
01:05:39.256196 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 7, length 64
01:05:39.584526 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 7, length 64
01:05:40.257437 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 8, length 64
01:05:40.594168 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 8, length 64
01:05:41.259062 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 9, length 64
01:05:41.589662 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 9, length 64
01:05:42.260189 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 10, length 64
01:05:42.584307 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 10, length 64
01:05:43.261224 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 11, length 64
01:05:43.589636 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 11, length 64
01:05:44.262548 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 12, length 64
01:05:44.588037 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 12, length 64
01:05:45.263943 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 13, length 64
01:05:45.597806 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 13, length 64
01:05:46.265565 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 14, length 64
01:05:46.588784 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 14, length 64
01:05:47.266687 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 15, length 64
01:05:47.592659 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 15, length 64
01:05:48.267569 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 16, length 64
01:05:48.594705 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 16, length 64
01:05:49.268618 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 17, length 64
01:05:49.593963 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 17, length 64
01:05:50.269878 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 18, length 64
01:05:50.593396 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 18, length 64
01:05:51.271316 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 19, length 64
01:05:51.596228 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 19, length 64
01:05:52.272153 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 20, length 64
01:05:52.595571 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 20, length 64
01:05:53.273498 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 21, length 64
01:05:53.601627 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 21, length 64
01:05:54.274538 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 22, length 64
01:05:54.598032 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 22, length 64
01:05:55.275940 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 23, length 64
01:05:55.600749 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 23, length 64
01:05:56.277654 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 24, length 64
01:05:56.603755 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 24, length 64
01:05:57.278647 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 25, length 64
01:05:57.623603 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 25, length 64
01:05:58.279484 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 26, length 64
01:05:58.610356 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 26, length 64
01:05:59.280269 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 27, length 64
01:05:59.604180 IP 89.238.186.244 > 10.8.2.2: ICMP echo reply, id 1566, seq 27, length 64
01:06:00.281102 IP 10.8.2.2 > 89.238.186.244: ICMP echo request, id 1566, seq 28, length 64
