01:23:21.081329 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 1, length 64
01:23:21.395265 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 1, length 64
01:23:22.081558 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 2, length 64
01:23:22.400178 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 2, length 64
01:23:23.083086 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 3, length 64
01:23:23.398925 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 3, length 64
01:23:24.084808 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 4, length 64
01:23:24.399397 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 4, length 64
01:23:25.086275 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 5, length 64
01:23:25.400351 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 5, length 64
01:23:26.087229 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 6, length 64
01:23:26.401818 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 6, length 64
01:23:27.088205 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 7, length 64
01:23:27.407703 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 7, length 64
01:23:28.089557 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 8, length 64
01:23:28.404664 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 8, length 64
01:23:29.090549 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 9, length 64
01:23:29.408539 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 9, length 64
01:23:30.091409 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 10, length 64
01:23:30.403147 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 10, length 64
01:23:31.093028 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 11, length 64
01:23:31.404634 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 11, length 64
01:23:32.094509 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 12, length 64
01:23:32.410241 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 12, length 64
01:23:33.096129 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 13, length 64
01:23:33.410257 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 13, length 64
01:23:34.097135 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 14, length 64
01:23:34.408675 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 14, length 64
01:23:35.098552 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 15, length 64
01:23:35.412929 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 15, length 64
01:23:36.099810 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 16, length 64
01:23:36.417945 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 16, length 64
01:23:37.100817 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 17, length 64
01:23:37.411371 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 17, length 64
01:23:38.102252 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 18, length 64
01:23:38.414267 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 18, length 64
01:23:39.103145 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 19, length 64
01:23:39.419258 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 19, length 64
01:23:40.104153 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 20, length 64
01:23:40.415818 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 20, length 64
01:23:41.105697 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 21, length 64
01:23:41.448138 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 21, length 64
01:23:42.106991 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 22, length 64
01:23:42.466956 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 22, length 64
01:23:43.107796 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 23, length 64
01:23:43.421984 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 23, length 64
01:23:44.108864 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 24, length 64
01:23:44.419084 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 24, length 64
01:23:45.109970 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 25, length 64
01:23:45.428679 IP 185.65.50.11 > 10.8.2.2: ICMP echo reply, id 1634, seq 25, length 64
01:23:46.111551 IP 10.8.2.2 > 185.65.50.11: ICMP echo request, id 1634, seq 26, length 64
