01:04:26.036236 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 2, length 64
01:04:26.352149 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 2, length 64
01:04:27.037043 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 3, length 64
01:04:27.355156 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 3, length 64
01:04:28.038112 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 4, length 64
01:04:28.359243 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 4, length 64
01:04:29.039135 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 5, length 64
01:04:29.357928 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 5, length 64
01:04:30.040819 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 6, length 64
01:04:30.357547 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 6, length 64
01:04:31.042472 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 7, length 64
01:04:31.358404 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 7, length 64
01:04:32.043330 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 8, length 64
01:04:32.363321 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 8, length 64
01:04:33.044236 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 9, length 64
01:04:33.360152 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 9, length 64
01:04:34.045080 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 10, length 64
01:04:34.368654 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 10, length 64
01:04:35.046565 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 11, length 64
01:04:35.370926 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 11, length 64
01:04:36.047838 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 12, length 64
01:04:36.365767 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 12, length 64
01:04:37.048674 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 13, length 64
01:04:37.366629 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 13, length 64
01:04:38.049501 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 14, length 64
01:04:38.367242 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 14, length 64
01:04:39.051078 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 15, length 64
01:04:39.367134 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 15, length 64
01:04:40.052073 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 16, length 64
01:04:40.368643 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 16, length 64
01:04:41.053572 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 17, length 64
01:04:41.373130 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 17, length 64
01:04:42.055049 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 18, length 64
01:04:42.372011 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 18, length 64
01:04:43.055952 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 19, length 64
01:04:43.373606 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 19, length 64
01:04:44.057472 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 20, length 64
01:04:44.374524 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 20, length 64
01:04:45.058447 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 21, length 64
01:04:45.391331 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 21, length 64
01:04:46.059190 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 22, length 64
01:04:46.390818 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 22, length 64
01:04:47.060734 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 23, length 64
01:04:47.377506 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 23, length 64
01:04:48.062438 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 24, length 64
01:04:48.378983 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 24, length 64
01:04:49.063901 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 25, length 64
01:04:49.384263 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 25, length 64
01:04:50.065196 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 26, length 64
01:04:50.382737 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 26, length 64
01:04:51.066626 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 27, length 64
01:04:51.382601 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 27, length 64
01:04:52.067542 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 28, length 64
01:04:52.384870 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 28, length 64
01:04:53.068800 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 29, length 64
01:04:53.384806 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 29, length 64
01:04:54.069736 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 30, length 64
01:04:54.431959 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 30, length 64
01:04:55.070807 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 31, length 64
01:04:55.392228 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 31, length 64
01:04:56.072157 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 32, length 64
01:04:56.390081 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 32, length 64
01:04:57.073003 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 33, length 64
01:04:57.390405 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 33, length 64
01:04:58.078090 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 34, length 64
01:04:58.399855 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 34, length 64
01:04:59.079737 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 35, length 64
01:04:59.395543 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 35, length 64
01:05:00.081468 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 36, length 64
01:05:00.407354 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 36, length 64
01:05:01.082267 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 37, length 64
01:05:02.108204 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 38, length 64
01:05:02.538605 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 37, length 64
01:05:02.540281 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 38, length 64
01:05:03.109090 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 39, length 64
01:05:03.432751 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 39, length 64
01:05:04.110683 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 40, length 64
01:05:04.427402 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 40, length 64
01:05:05.112343 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 41, length 64
01:05:05.432139 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 41, length 64
01:05:06.114070 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 42, length 64
01:05:06.430985 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 42, length 64
01:05:07.114916 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 43, length 64
01:05:07.437197 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 43, length 64
01:05:08.116130 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 44, length 64
01:05:08.432984 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 44, length 64
01:05:09.116918 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 45, length 64
01:05:09.433169 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 45, length 64
01:05:10.118093 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 46, length 64
01:05:10.437015 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 46, length 64
01:05:11.118896 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 47, length 64
01:05:11.437839 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 47, length 64
01:05:12.119673 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 48, length 64
01:05:12.444549 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 48, length 64
01:05:13.120466 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 49, length 64
01:05:13.436404 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 49, length 64
01:05:14.121344 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 50, length 64
01:05:14.439148 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 50, length 64
01:05:15.123081 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 51, length 64
01:05:15.440579 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 51, length 64
01:05:16.124501 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 52, length 64
01:05:16.442754 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 52, length 64
01:05:17.125601 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 53, length 64
01:05:17.442541 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 53, length 64
01:05:18.126470 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 54, length 64
01:05:18.448971 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 54, length 64
01:05:19.127893 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 55, length 64
01:05:19.443575 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 55, length 64
01:05:20.129501 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 56, length 64
01:05:20.447326 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 56, length 64
01:05:21.131253 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 57, length 64
01:05:21.448949 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 57, length 64
01:05:22.132873 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 58, length 64
01:05:22.452843 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 58, length 64
01:05:23.133766 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 59, length 64
01:05:23.456499 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 59, length 64
01:05:24.135423 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 60, length 64
01:05:24.456542 IP 194.99.105.100 > 10.8.2.2: ICMP echo reply, id 1559, seq 60, length 64
01:05:25.136467 IP 10.8.2.2 > 194.99.105.100: ICMP echo request, id 1559, seq 61, length 64
