01:07:33.512927 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 2, length 64
01:07:33.902361 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 2, length 64
01:07:34.514219 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 3, length 64
01:07:34.906237 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 3, length 64
01:07:35.515115 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 4, length 64
01:07:35.907284 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 4, length 64
01:07:36.516053 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 5, length 64
01:07:36.903132 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 5, length 64
01:07:37.516994 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 6, length 64
01:07:37.904759 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 6, length 64
01:07:38.518604 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 7, length 64
01:07:38.906178 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 7, length 64
01:07:39.520030 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 8, length 64
01:07:39.909082 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 8, length 64
01:07:40.520942 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 9, length 64
01:07:40.907537 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 9, length 64
01:07:41.522388 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 10, length 64
01:07:42.524214 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 11, length 64
01:07:42.999250 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 11, length 64
01:07:43.525013 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 12, length 64
01:07:43.918490 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 12, length 64
01:07:44.526334 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 13, length 64
01:07:45.532244 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 14, length 64
01:07:45.923600 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 14, length 64
01:07:46.533418 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 15, length 64
01:07:46.923574 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 15, length 64
01:07:47.534418 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 16, length 64
01:07:47.926299 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 16, length 64
01:07:48.535141 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 17, length 64
01:07:48.922952 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 17, length 64
01:07:49.536787 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 18, length 64
01:07:49.928024 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 18, length 64
01:07:50.537873 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 19, length 64
01:07:50.929531 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 19, length 64
01:07:51.539369 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 20, length 64
01:07:51.930134 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 20, length 64
01:07:52.540972 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 21, length 64
01:07:52.927409 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 21, length 64
01:07:53.542256 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 22, length 64
01:07:53.986887 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 22, length 64
01:07:54.543676 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 23, length 64
01:07:54.934131 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 23, length 64
01:07:55.544979 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 24, length 64
01:07:55.931840 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 24, length 64
01:07:56.545693 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 25, length 64
01:07:56.933649 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 25, length 64
01:07:57.546536 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 26, length 64
01:07:57.937703 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 26, length 64
01:07:58.547549 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 27, length 64
01:07:58.935545 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 27, length 64
01:07:59.548397 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 28, length 64
01:07:59.939368 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 28, length 64
01:08:00.549212 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 29, length 64
01:08:00.939652 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 29, length 64
01:08:01.550545 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 30, length 64
01:08:01.942129 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 30, length 64
01:08:02.551938 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 31, length 64
01:08:02.941369 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 31, length 64
01:08:03.553220 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 32, length 64
01:08:03.941010 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 32, length 64
01:08:04.554862 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 33, length 64
01:08:04.947472 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 33, length 64
01:08:05.556320 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 34, length 64
01:08:05.944714 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 34, length 64
01:08:06.557555 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 35, length 64
01:08:06.945949 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 35, length 64
01:08:07.558797 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 36, length 64
01:08:07.947443 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 36, length 64
01:08:08.560193 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 37, length 64
01:08:08.952475 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 37, length 64
01:08:09.561320 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 38, length 64
01:08:09.950057 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 38, length 64
01:08:10.562903 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 39, length 64
01:08:10.950002 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 39, length 64
01:08:11.563851 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 40, length 64
01:08:11.954478 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 40, length 64
01:08:12.565317 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 41, length 64
01:08:12.955501 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 41, length 64
01:08:13.566331 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 42, length 64
01:08:13.952727 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 42, length 64
01:08:14.567589 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 43, length 64
01:08:14.956999 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 43, length 64
01:08:15.568687 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 44, length 64
01:08:15.961231 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 44, length 64
01:08:16.569986 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 45, length 64
01:08:16.958326 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 45, length 64
01:08:17.571182 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 46, length 64
01:08:17.959170 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 46, length 64
01:08:18.571972 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 47, length 64
01:08:18.964377 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 47, length 64
01:08:19.573224 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 48, length 64
01:08:19.961120 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 48, length 64
01:08:20.573961 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 49, length 64
01:08:20.963145 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 49, length 64
01:08:21.574995 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 50, length 64
01:08:21.962534 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 50, length 64
01:08:22.576380 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 51, length 64
01:08:22.968635 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 51, length 64
01:08:23.577476 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 52, length 64
01:08:23.967860 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 52, length 64
01:08:24.578702 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 53, length 64
01:08:24.972003 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 53, length 64
01:08:25.579853 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 54, length 64
01:08:25.970733 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 54, length 64
01:08:26.580574 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 55, length 64
01:08:26.970738 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 55, length 64
01:08:27.581580 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 56, length 64
01:08:27.972537 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 56, length 64
01:08:28.582376 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 57, length 64
01:08:28.969165 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 57, length 64
01:08:29.584010 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 58, length 64
01:08:29.976453 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 58, length 64
01:08:30.585291 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 59, length 64
01:08:30.972043 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 59, length 64
01:08:31.586893 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 60, length 64
01:08:31.978539 IP 66.55.146.98 > 10.8.2.2: ICMP echo reply, id 1572, seq 60, length 64
01:08:32.588383 IP 10.8.2.2 > 66.55.146.98: ICMP echo request, id 1572, seq 61, length 64
