19:26:19.242384 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 1, length 64
19:26:19.726644 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 2, length 64
19:26:20.240442 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 2, length 64
19:26:20.727180 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 3, length 64
19:26:21.242245 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 3, length 64
19:26:21.726988 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 4, length 64
19:26:22.241050 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 4, length 64
19:26:22.726296 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 5, length 64
19:26:23.240047 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 5, length 64
19:26:23.726776 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 6, length 64
19:26:24.241860 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 6, length 64
19:26:24.726584 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 7, length 64
19:26:25.245218 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 7, length 64
19:26:25.726851 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 8, length 64
19:26:26.240972 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 8, length 64
19:26:26.726600 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 9, length 64
19:26:27.244038 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 9, length 64
19:26:27.726727 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 10, length 64
19:26:28.240920 IP 103.137.14.147 > 10.8.1.3: ICMP echo reply, id 301, seq 10, length 64
19:26:28.726637 IP 10.8.1.3 > 103.137.14.147: ICMP echo request, id 301, seq 11, length 64
