19:27:21.623977 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 1, length 64
19:27:22.127658 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 1, length 64
19:27:23.008210 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 2, length 64
19:27:23.511503 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 2, length 64
19:27:24.009242 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 3, length 64
19:27:24.514141 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 3, length 64
19:27:25.009881 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 4, length 64
19:27:25.514022 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 4, length 64
19:27:26.010745 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 5, length 64
19:27:26.513999 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 5, length 64
19:27:27.011738 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 6, length 64
19:27:27.515598 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 6, length 64
19:27:28.012336 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 7, length 64
19:27:28.518669 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 7, length 64
19:27:29.013406 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 8, length 64
19:27:29.519000 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 8, length 64
19:27:30.014317 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 9, length 64
19:27:30.517894 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 9, length 64
19:27:31.015628 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 10, length 64
19:27:31.519845 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 10, length 64
19:27:32.016192 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 11, length 64
19:27:32.528504 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 11, length 64
19:27:33.017146 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 12, length 64
19:27:33.520295 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 12, length 64
19:27:34.017985 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 13, length 64
19:27:34.521100 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 13, length 64
19:27:35.018798 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 14, length 64
19:27:35.522193 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 14, length 64
19:27:36.019888 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 15, length 64
19:27:36.522889 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 15, length 64
19:27:37.020218 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 16, length 64
19:27:37.523158 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 16, length 64
19:27:38.020854 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 17, length 64
19:27:38.531135 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 17, length 64
19:27:39.021824 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 18, length 64
19:27:39.532397 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 18, length 64
19:27:40.023123 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 19, length 64
19:27:40.526747 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 19, length 64
19:27:41.024201 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 20, length 64
19:27:41.530922 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 20, length 64
19:27:42.025643 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 21, length 64
19:27:42.530226 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 21, length 64
19:27:43.026939 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 22, length 64
19:27:43.535160 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 22, length 64
19:27:44.027836 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 23, length 64
19:27:44.531034 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 23, length 64
19:27:45.028163 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 24, length 64
19:27:45.536183 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 24, length 64
19:27:46.028931 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 25, length 64
19:27:46.531677 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 25, length 64
19:27:47.030336 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 26, length 64
19:27:47.533454 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 26, length 64
19:27:48.031108 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 27, length 64
19:27:48.533941 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 27, length 64
19:27:49.032199 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 28, length 64
19:27:49.535021 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 28, length 64
19:27:50.033746 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 29, length 64
19:27:50.536673 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 29, length 64
19:27:51.034315 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 30, length 64
19:27:51.537050 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 30, length 64
19:27:52.035779 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 31, length 64
19:27:52.539015 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 31, length 64
19:27:53.036674 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 32, length 64
19:27:53.540344 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 32, length 64
19:27:54.038002 IP 10.8.1.3 > 116.90.72.43: ICMP echo request, id 306, seq 33, length 64
19:27:54.541122 IP 116.90.72.43 > 10.8.1.3: ICMP echo reply, id 306, seq 33, length 64
