19:13:46.297406 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 1, length 64
19:13:46.598492 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 1, length 64
19:13:47.368164 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 2, length 64
19:13:47.669924 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 2, length 64
19:13:48.369868 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 3, length 64
19:13:48.671549 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 3, length 64
19:13:49.371482 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 4, length 64
19:13:49.672339 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 4, length 64
19:13:50.372279 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 5, length 64
19:13:50.673363 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 5, length 64
19:13:51.373282 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 6, length 64
19:13:51.674718 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 6, length 64
19:13:52.374640 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 7, length 64
19:13:52.675565 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 7, length 64
19:13:53.375493 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 8, length 64
19:13:53.676414 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 8, length 64
19:13:54.376335 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 9, length 64
19:13:54.677617 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 9, length 64
19:13:55.377540 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 10, length 64
19:13:55.678307 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 10, length 64
19:13:56.379221 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 11, length 64
19:13:56.680418 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 11, length 64
19:13:57.380334 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 12, length 64
19:13:57.681640 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 12, length 64
19:13:58.381566 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 13, length 64
19:13:58.682270 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 13, length 64
19:13:59.383206 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 14, length 64
19:13:59.684250 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 14, length 64
19:14:00.384179 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 15, length 64
19:14:00.685122 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 15, length 64
19:14:01.385039 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 16, length 64
19:14:01.685933 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 16, length 64
19:14:02.385827 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 17, length 64
19:14:02.686968 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 17, length 64
19:14:03.386892 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 18, length 64
19:14:03.698011 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 18, length 64
19:14:04.387840 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 19, length 64
19:14:04.688772 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 19, length 64
19:14:05.388689 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 20, length 64
19:14:05.689877 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 20, length 64
19:14:06.389800 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 21, length 64
19:14:06.691228 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 21, length 64
19:14:07.391152 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 22, length 64
19:14:07.692875 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 22, length 64
19:14:08.392804 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 23, length 64
19:14:08.693652 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 23, length 64
19:14:09.393570 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 24, length 64
19:14:09.694876 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 24, length 64
19:14:10.394804 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 25, length 64
19:14:10.695910 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 25, length 64
19:14:11.395841 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 26, length 64
19:14:11.697359 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 26, length 64
19:14:12.397283 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 27, length 64
19:14:12.702696 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 27, length 64
19:14:13.398571 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 28, length 64
19:14:13.701959 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 28, length 64
19:14:14.399881 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 29, length 64
19:14:14.704333 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 29, length 64
19:14:15.401272 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 30, length 64
19:14:15.702201 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 30, length 64
19:14:16.402129 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 31, length 64
19:14:16.703196 IP 89.238.186.244 > 10.8.1.3: ICMP echo reply, id 254, seq 31, length 64
19:14:17.403124 IP 10.8.1.3 > 89.238.186.244: ICMP echo request, id 254, seq 32, length 64
