19:20:00.150321 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 1, length 64
19:20:01.090472 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 2, length 64
19:20:02.108269 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 3, length 64
19:20:02.557067 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 3, length 64
19:20:03.109870 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 4, length 64
19:20:04.124213 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 5, length 64
19:20:04.587418 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 5, length 64
19:20:05.125195 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 6, length 64
19:20:05.589828 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 6, length 64
19:20:06.126594 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 7, length 64
19:20:06.574428 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 7, length 64
19:20:07.127214 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 8, length 64
19:20:07.579467 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 8, length 64
19:20:08.128245 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 9, length 64
19:20:08.579478 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 9, length 64
19:20:09.129268 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 10, length 64
19:20:09.581236 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 10, length 64
19:20:10.130020 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 11, length 64
19:20:10.580839 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 11, length 64
19:20:11.131624 IP 10.8.1.3 > 165.73.240.43: ICMP echo request, id 277, seq 12, length 64
19:20:11.582091 IP 165.73.240.43 > 10.8.1.3: ICMP echo reply, id 277, seq 12, length 64
