07:34:11.636405 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 2, length 64
07:34:12.119154 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 2, length 64
07:34:12.636859 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 3, length 64
07:34:13.662215 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 4, length 64
07:34:14.686209 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 5, length 64
07:34:14.900453 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 3, length 64
07:34:14.900667 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 4, length 64
07:34:15.173851 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 5, length 64
07:34:15.686608 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 6, length 64
07:34:16.169629 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 6, length 64
07:34:16.686378 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 7, length 64
07:34:17.177115 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 7, length 64
07:34:17.686858 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 8, length 64
07:34:18.169555 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 8, length 64
07:34:18.687308 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 9, length 64
07:34:19.175661 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 9, length 64
07:34:19.687406 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 10, length 64
07:34:20.170387 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 10, length 64
07:34:20.687144 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 11, length 64
07:34:21.175549 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 11, length 64
07:34:21.687295 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 12, length 64
07:34:22.170222 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 12, length 64
07:34:22.686965 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 13, length 64
07:34:23.176459 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 13, length 64
07:34:23.687202 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 14, length 64
07:34:24.174825 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 14, length 64
07:34:24.687565 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 15, length 64
07:34:25.170671 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 15, length 64
07:34:25.687420 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 16, length 64
07:34:26.170298 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 16, length 64
07:34:26.687048 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 17, length 64
07:34:27.171785 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 17, length 64
07:34:27.687529 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 18, length 64
07:34:28.171092 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 18, length 64
07:34:28.687840 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 19, length 64
07:34:29.182524 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 19, length 64
07:34:29.688248 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 20, length 64
07:34:30.718210 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 21, length 64
07:34:31.742231 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 22, length 64
07:34:31.865202 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 20, length 64
07:34:31.865316 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 21, length 64
07:34:32.225189 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 22, length 64
07:34:32.741937 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 23, length 64
07:34:33.224612 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 23, length 64
07:34:33.742360 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 24, length 64
07:34:34.232168 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 24, length 64
07:34:34.742912 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 25, length 64
07:34:35.226067 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 25, length 64
07:34:35.742821 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 26, length 64
07:34:36.226503 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 26, length 64
07:34:36.743241 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 27, length 64
07:34:37.225769 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 27, length 64
07:34:37.743508 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 28, length 64
07:34:38.226296 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 28, length 64
07:34:38.744043 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 29, length 64
07:34:39.227108 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 29, length 64
07:34:39.743849 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 30, length 64
07:34:40.234737 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 30, length 64
07:34:40.743482 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 31, length 64
07:34:41.226387 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 31, length 64
07:34:41.743127 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 32, length 64
07:34:42.226016 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 32, length 64
07:34:42.742776 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 33, length 64
07:34:43.225645 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 33, length 64
07:34:43.742376 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 34, length 64
07:34:44.232462 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 34, length 64
07:34:44.742192 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 35, length 64
07:34:45.225687 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 35, length 64
07:34:45.742430 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 36, length 64
07:34:46.259235 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 36, length 64
07:34:46.742948 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 37, length 64
07:34:47.258191 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 37, length 64
07:34:47.742903 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 38, length 64
07:34:48.231948 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 38, length 64
07:34:48.742675 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 39, length 64
07:34:49.256161 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 39, length 64
07:34:49.742874 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 40, length 64
07:34:50.225633 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 40, length 64
07:34:50.743379 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 41, length 64
07:34:51.226624 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 41, length 64
07:34:51.743354 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 42, length 64
07:34:52.234154 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 42, length 64
07:34:52.743906 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 43, length 64
07:34:53.227265 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 43, length 64
07:34:53.743997 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 44, length 64
07:34:54.227459 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 44, length 64
07:34:54.744188 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 45, length 64
07:34:55.229439 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 45, length 64
07:34:55.744172 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 46, length 64
07:34:56.227599 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 46, length 64
07:34:56.744330 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 47, length 64
07:34:57.228761 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 47, length 64
07:34:57.744501 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 48, length 64
07:34:58.227380 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 48, length 64
07:34:58.744115 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 49, length 64
07:34:59.774208 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 50, length 64
07:35:00.257374 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 50, length 64
07:35:00.774134 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 51, length 64
07:35:01.258416 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 51, length 64
07:35:01.774158 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 52, length 64
07:35:02.256839 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 52, length 64
07:35:02.774584 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 53, length 64
07:35:03.257815 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 53, length 64
07:35:03.774562 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 54, length 64
07:35:04.257702 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 54, length 64
07:35:04.774454 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 55, length 64
07:35:05.256926 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 55, length 64
07:35:05.774668 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 56, length 64
07:35:06.258741 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 56, length 64
07:35:06.774486 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 57, length 64
07:35:07.257659 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 57, length 64
07:35:07.774404 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 58, length 64
07:35:08.257403 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 58, length 64
07:35:08.774147 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 59, length 64
07:35:09.256993 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 59, length 64
07:35:09.773731 IP 10.8.0.5 > 45.228.209.43: ICMP echo request, id 714, seq 60, length 64
07:35:10.256275 IP 45.228.209.43 > 10.8.0.5: ICMP echo reply, id 714, seq 60, length 64
