07:24:49.382868 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 2, length 64
07:24:50.096772 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 3, length 64
07:24:50.384054 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 3, length 64
07:24:51.098025 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 4, length 64
07:24:51.385076 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 4, length 64
07:24:52.099030 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 5, length 64
07:24:52.387697 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 5, length 64
07:24:53.100654 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 6, length 64
07:24:53.387763 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 6, length 64
07:24:54.101719 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 7, length 64
07:24:54.388859 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 7, length 64
07:24:55.102811 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 8, length 64
07:24:55.390126 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 8, length 64
07:24:56.104077 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 9, length 64
07:24:56.391401 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 9, length 64
07:24:57.105356 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 10, length 64
07:24:57.394334 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 10, length 64
07:24:58.106307 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 11, length 64
07:24:58.394032 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 11, length 64
07:24:59.107983 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 12, length 64
07:24:59.396616 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 12, length 64
07:25:00.109585 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 13, length 64
07:25:00.396772 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 13, length 64
07:25:01.110726 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 14, length 64
07:25:01.397639 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 14, length 64
07:25:02.111601 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 15, length 64
07:25:03.134214 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 16, length 64
07:25:04.106825 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 15, length 64
07:25:04.106879 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 16, length 64
07:25:04.134143 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 17, length 64
07:25:04.422617 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 17, length 64
07:25:05.135559 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 18, length 64
07:25:05.422641 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 18, length 64
07:25:06.136593 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 19, length 64
07:25:06.423786 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 19, length 64
07:25:07.137701 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 20, length 64
07:25:07.424804 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 20, length 64
07:25:08.138204 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 21, length 64
07:25:08.425241 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 21, length 64
07:25:09.139197 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 22, length 64
07:25:09.426439 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 22, length 64
07:25:10.140354 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 23, length 64
07:25:10.427275 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 23, length 64
07:25:11.141190 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 24, length 64
07:25:12.158226 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 25, length 64
07:25:12.556296 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 24, length 64
07:25:12.556473 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 25, length 64
07:25:13.159271 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 26, length 64
07:25:13.446517 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 26, length 64
07:25:14.160473 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 27, length 64
07:25:14.448316 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 27, length 64
07:25:15.161280 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 28, length 64
07:25:15.448344 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 28, length 64
07:25:16.162207 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 29, length 64
07:25:16.451334 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 29, length 64
07:25:17.163028 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 30, length 64
07:25:17.450343 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 30, length 64
07:25:18.163795 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 31, length 64
07:25:18.451005 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 31, length 64
07:25:19.164774 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 32, length 64
07:25:20.190231 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 33, length 64
07:25:20.946926 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 32, length 64
07:25:20.946981 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 33, length 64
07:25:21.191417 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 34, length 64
07:25:21.478773 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 34, length 64
07:25:22.192720 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 35, length 64
07:25:22.479608 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 35, length 64
07:25:23.193566 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 36, length 64
07:25:23.484594 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 36, length 64
07:25:24.194542 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 37, length 64
07:25:24.482991 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 37, length 64
07:25:25.195945 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 38, length 64
07:25:25.483169 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 38, length 64
07:25:26.197123 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 39, length 64
07:25:26.486066 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 39, length 64
07:25:27.198007 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 40, length 64
07:25:28.222242 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 41, length 64
07:25:29.246215 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 42, length 64
07:25:29.386453 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 40, length 64
07:25:29.386508 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 41, length 64
07:25:29.542255 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 42, length 64
07:25:30.247216 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 43, length 64
07:25:30.536889 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 43, length 64
07:25:31.248414 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 44, length 64
07:25:31.536697 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 44, length 64
07:25:32.249484 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 45, length 64
07:25:32.536681 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 45, length 64
07:25:33.250558 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 46, length 64
07:25:33.541515 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 46, length 64
07:25:34.251502 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 47, length 64
07:25:34.540506 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 47, length 64
07:25:35.252479 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 48, length 64
07:25:35.544909 IP 85.10.51.63 > 10.8.0.5: ICMP echo reply, id 677, seq 48, length 64
07:25:36.253654 IP 10.8.0.5 > 85.10.51.63: ICMP echo request, id 677, seq 49, length 64
