07:30:04.709484 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 2, length 64
07:30:05.001090 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 2, length 64
07:30:05.710040 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 3, length 64
07:30:06.001699 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 3, length 64
07:30:06.710650 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 4, length 64
07:30:07.742202 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 5, length 64
07:30:08.766204 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 6, length 64
07:30:08.944523 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 4, length 64
07:30:08.944578 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 5, length 64
07:30:09.057730 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 6, length 64
07:30:09.766682 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 7, length 64
07:30:10.058181 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 7, length 64
07:30:10.767135 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 8, length 64
07:30:11.059171 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 8, length 64
07:30:11.767118 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 9, length 64
07:30:12.058952 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 9, length 64
07:30:12.766894 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 10, length 64
07:30:13.058230 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 10, length 64
07:30:13.767177 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 11, length 64
07:30:14.058803 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 11, length 64
07:30:14.767749 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 12, length 64
07:30:15.059191 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 12, length 64
07:30:15.768139 IP 10.8.0.5 > 84.247.48.83: ICMP echo request, id 699, seq 13, length 64
07:30:16.060009 IP 84.247.48.83 > 10.8.0.5: ICMP echo reply, id 699, seq 13, length 64
