07:25:51.619324 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 1, length 64
07:25:51.868556 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 1, length 64
07:25:54.892970 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 2, length 64
07:25:55.141725 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 2, length 64
07:25:55.893722 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 3, length 64
07:25:56.142533 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 3, length 64
07:25:56.894521 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 4, length 64
07:25:57.143547 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 4, length 64
07:25:57.894543 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 5, length 64
07:25:58.144117 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 5, length 64
07:25:58.895118 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 6, length 64
07:25:59.143756 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 6, length 64
07:25:59.895752 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 7, length 64
07:26:00.144574 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 7, length 64
07:26:00.895571 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 8, length 64
07:26:01.144178 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 8, length 64
07:26:01.896174 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 9, length 64
07:26:02.145219 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 9, length 64
07:26:02.896213 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 10, length 64
07:26:03.144997 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 10, length 64
07:26:03.896986 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 11, length 64
07:26:04.146010 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 11, length 64
07:26:04.897029 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 12, length 64
07:26:05.145810 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 12, length 64
07:26:05.897806 IP 10.8.0.5 > 86.106.137.187: ICMP echo request, id 684, seq 13, length 64
07:26:06.147384 IP 86.106.137.187 > 10.8.0.5: ICMP echo reply, id 684, seq 13, length 64
