12:18:03.402054 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 1, length 64
12:18:04.402258 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 2, length 64
12:18:05.096723 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 2, length 64
12:18:05.402311 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 3, length 64
12:18:06.096724 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 3, length 64
12:18:06.402260 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 4, length 64
12:18:07.096406 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 4, length 64
12:18:07.401870 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 5, length 64
12:18:08.095985 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 5, length 64
12:18:08.401521 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 6, length 64
12:18:09.096167 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 6, length 64
12:18:09.401719 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 7, length 64
12:18:10.096156 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 7, length 64
12:18:10.401694 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 8, length 64
12:18:11.096471 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 8, length 64
12:18:11.402013 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 9, length 64
12:18:12.096430 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 9, length 64
12:18:12.401963 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 10, length 64
12:18:13.096465 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 10, length 64
12:18:13.402003 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 11, length 64
12:18:14.096284 IP 103.137.14.147 > 10.8.0.5: ICMP echo reply, id 1777, seq 11, length 64
12:18:14.401819 IP 10.8.0.5 > 103.137.14.147: ICMP echo request, id 1777, seq 12, length 64
