03:17:14.491282 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 1, length 64
03:17:14.986635 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 1, length 64
03:17:16.377664 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 2, length 64
03:17:16.873098 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 2, length 64
03:17:17.378813 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 3, length 64
03:17:17.874584 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 3, length 64
03:17:18.380288 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 4, length 64
03:17:18.875708 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 4, length 64
03:17:19.381458 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 5, length 64
03:17:19.877117 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 5, length 64
03:17:20.382854 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 6, length 64
03:17:20.878337 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 6, length 64
03:17:21.384101 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 7, length 64
03:17:21.879916 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 7, length 64
03:17:22.384678 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 8, length 64
03:17:22.880118 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 8, length 64
03:17:23.385888 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 9, length 64
03:17:23.881745 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 9, length 64
03:17:24.386109 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 10, length 64
03:17:24.881743 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 10, length 64
03:17:25.387515 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 11, length 64
03:17:25.883200 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 11, length 64
03:17:26.388948 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 12, length 64
03:17:26.884436 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 12, length 64
03:17:27.390213 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 13, length 64
03:17:27.885725 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 13, length 64
03:17:28.391474 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 14, length 64
03:17:28.887029 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 14, length 64
03:17:29.392783 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 15, length 64
03:17:29.888243 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 15, length 64
03:17:30.393991 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 16, length 64
03:17:30.889305 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 16, length 64
03:17:31.395027 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 17, length 64
03:17:31.890554 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 17, length 64
03:17:32.396188 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 18, length 64
03:17:32.891889 IP 172.83.40.219 > 10.8.0.6: ICMP echo reply, id 39, seq 18, length 64
03:17:33.397602 IP 10.8.0.6 > 172.83.40.219: ICMP echo request, id 39, seq 19, length 64
