12:18:03.444590 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 2, length 64
12:18:04.198177 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 2, length 64
12:18:04.444670 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 3, length 64
12:18:05.194589 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 3, length 64
12:18:05.444139 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 4, length 64
12:18:06.196015 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 4, length 64
12:18:06.443506 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 5, length 64
12:18:07.192796 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 5, length 64
12:18:07.443284 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 6, length 64
12:18:08.446218 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 7, length 64
12:18:09.198420 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 7, length 64
12:18:09.445903 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 8, length 64
12:18:10.192341 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 8, length 64
12:18:10.445828 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 9, length 64
12:18:11.199874 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 9, length 64
12:18:11.445366 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 10, length 64
12:18:12.193857 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 10, length 64
12:18:12.445339 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 11, length 64
12:18:13.198429 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 11, length 64
12:18:13.444922 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 12, length 64
12:18:14.205075 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 12, length 64
12:18:14.444547 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 13, length 64
12:18:15.195144 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 13, length 64
12:18:15.444641 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 14, length 64
12:18:16.194476 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 14, length 64
12:18:16.443960 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 15, length 64
12:18:17.190085 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 15, length 64
12:18:17.443587 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 16, length 64
12:18:18.196576 IP 84.17.37.226 > 10.8.0.5: ICMP echo reply, id 1776, seq 16, length 64
12:18:18.443067 IP 10.8.0.5 > 84.17.37.226: ICMP echo request, id 1776, seq 17, length 64
