12:06:34.652879 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 1, length 64
12:06:35.090655 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 1, length 64
12:06:35.958194 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 2, length 64
12:06:36.396095 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 2, length 64
12:06:36.957902 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 3, length 64
12:06:37.395452 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 3, length 64
12:06:37.958238 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 4, length 64
12:06:38.395852 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 4, length 64
12:06:38.958642 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 5, length 64
12:06:39.396069 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 5, length 64
12:06:39.958864 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 6, length 64
12:06:40.397160 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 6, length 64
12:06:40.958956 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 7, length 64
12:06:41.396947 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 7, length 64
12:06:41.958743 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 8, length 64
12:06:42.396163 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 8, length 64
12:06:42.958964 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 9, length 64
12:06:43.396604 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 9, length 64
12:06:43.959395 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 10, length 64
12:06:44.396978 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 10, length 64
12:06:44.959763 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 11, length 64
12:06:45.397247 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 11, length 64
12:06:45.960036 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 12, length 64
12:06:46.397687 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 12, length 64
12:06:46.960475 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 13, length 64
12:06:47.398310 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 13, length 64
12:06:47.960104 IP 10.8.0.5 > 45.35.204.2: ICMP echo request, id 1734, seq 14, length 64
12:06:48.397956 IP 45.35.204.2 > 10.8.0.5: ICMP echo reply, id 1734, seq 14, length 64
