16:30:54.342803 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 2, length 64
16:30:54.728277 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 2, length 64
16:30:55.344126 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 3, length 64
16:30:55.727289 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 3, length 64
16:30:56.345138 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 4, length 64
16:30:56.726738 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 4, length 64
16:30:57.346588 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 5, length 64
16:30:57.726108 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 5, length 64
16:30:58.347946 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 6, length 64
16:30:58.734348 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 6, length 64
16:30:59.349191 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 7, length 64
16:30:59.729985 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 7, length 64
16:31:00.350856 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 8, length 64
16:31:00.730362 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 8, length 64
16:31:01.352208 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 9, length 64
16:31:01.734640 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 9, length 64
16:31:02.353487 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 10, length 64
16:31:02.733632 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 10, length 64
16:31:03.354479 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 11, length 64
16:31:04.379255 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 12, length 64
16:31:05.403239 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 13, length 64
16:31:05.613205 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 11, length 64
16:31:05.801110 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 12, length 64
16:31:05.801453 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 13, length 64
16:31:06.404291 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 14, length 64
16:31:06.791182 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 14, length 64
16:31:07.405009 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 15, length 64
16:31:07.791209 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 15, length 64
16:31:08.406022 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 16, length 64
16:31:08.792947 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 16, length 64
16:31:09.406784 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 17, length 64
16:31:09.786994 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 17, length 64
16:31:10.407903 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 18, length 64
16:31:10.797448 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 18, length 64
16:31:11.409274 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 19, length 64
16:31:11.790789 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 19, length 64
16:31:12.410639 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 20, length 64
16:31:12.794684 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 20, length 64
16:31:13.411534 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 21, length 64
16:31:13.795531 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 21, length 64
16:31:14.412357 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 22, length 64
16:31:14.793697 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 22, length 64
16:31:15.413535 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 23, length 64
16:31:15.795319 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 23, length 64
16:31:16.415115 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 24, length 64
16:31:16.800907 IP 210.217.18.78 > 10.8.2.8: ICMP echo reply, id 472, seq 24, length 64
16:31:17.416709 IP 10.8.2.8 > 210.217.18.78: ICMP echo request, id 472, seq 25, length 64
