16:18:24.982393 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 2, length 64
16:18:25.264394 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 2, length 64
16:18:25.982361 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 3, length 64
16:18:26.264753 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 3, length 64
16:18:26.982703 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 4, length 64
16:18:27.264984 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 4, length 64
16:18:27.982921 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 5, length 64
16:18:28.265155 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 5, length 64
16:18:28.983092 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 6, length 64
16:18:29.265318 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 6, length 64
16:18:29.983257 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 7, length 64
16:18:30.265462 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 7, length 64
16:18:30.983400 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 8, length 64
16:18:31.265487 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 8, length 64
16:18:31.983434 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 9, length 64
16:18:32.265495 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 9, length 64
16:18:32.983436 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 10, length 64
16:18:33.265529 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 10, length 64
16:18:33.983470 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 11, length 64
16:18:34.265714 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 11, length 64
16:18:34.983654 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 12, length 64
16:18:35.265786 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 12, length 64
16:18:35.983727 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 13, length 64
16:18:36.266019 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 13, length 64
16:18:36.983963 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 14, length 64
16:18:37.266439 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 14, length 64
16:18:37.984380 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 15, length 64
16:18:38.266707 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 15, length 64
16:18:38.984647 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 16, length 64
16:18:39.266845 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 16, length 64
16:18:39.984787 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 17, length 64
16:18:40.266895 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 17, length 64
16:18:40.984834 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 18, length 64
16:18:41.267124 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 18, length 64
16:18:41.985089 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 19, length 64
16:18:42.268133 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 19, length 64
16:18:42.985074 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 20, length 64
16:18:43.266969 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 20, length 64
16:18:43.984907 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 21, length 64
16:18:44.267391 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 21, length 64
16:18:44.985333 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 22, length 64
16:18:45.267362 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 22, length 64
16:18:45.985312 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 23, length 64
16:18:46.267414 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 23, length 64
16:18:46.985366 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 24, length 64
16:18:47.267232 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 24, length 64
16:18:47.985181 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 25, length 64
16:18:48.267720 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 25, length 64
16:18:48.985649 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 26, length 64
16:18:49.268119 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 26, length 64
16:18:49.986045 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 27, length 64
16:18:50.268123 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 27, length 64
16:18:50.986055 IP 10.8.2.8 > 217.23.2.31: ICMP echo request, id 425, seq 28, length 64
16:18:51.268369 IP 217.23.2.31 > 10.8.2.8: ICMP echo reply, id 425, seq 28, length 64
