16:17:22.632669 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 2, length 64
16:17:23.361628 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 3, length 64
16:17:23.633584 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 3, length 64
16:17:24.362562 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 4, length 64
16:17:24.634558 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 4, length 64
16:17:25.363533 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 5, length 64
16:17:25.635837 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 5, length 64
16:17:26.364804 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 6, length 64
16:17:26.636844 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 6, length 64
16:17:27.365808 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 7, length 64
16:17:27.638052 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 7, length 64
16:17:28.367005 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 8, length 64
16:17:28.639218 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 8, length 64
16:17:29.368170 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 9, length 64
16:17:29.640496 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 9, length 64
16:17:30.369450 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 10, length 64
16:17:30.641476 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 10, length 64
16:17:31.370429 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 11, length 64
16:17:31.642708 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 11, length 64
16:17:32.371668 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 12, length 64
16:17:32.643728 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 12, length 64
16:17:33.372682 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 13, length 64
16:17:33.644541 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 13, length 64
16:17:34.373495 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 14, length 64
16:17:34.647552 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 14, length 64
16:17:35.374506 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 15, length 64
16:17:35.646598 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 15, length 64
16:17:36.375553 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 16, length 64
16:17:36.647841 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 16, length 64
16:17:37.376794 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 17, length 64
16:17:37.648946 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 17, length 64
16:17:38.377903 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 18, length 64
16:17:39.387268 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 19, length 64
16:17:40.411260 IP 10.8.2.8 > 81.92.202.11: ICMP echo request, id 419, seq 20, length 64
16:17:40.632778 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 18, length 64
16:17:40.633206 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 19, length 64
16:17:40.683243 IP 81.92.202.11 > 10.8.2.8: ICMP echo reply, id 419, seq 20, length 64
