06:35:44.206162 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 2, length 64
06:35:44.540270 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 2, length 64
06:35:45.207184 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 3, length 64
06:35:45.561773 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 3, length 64
06:35:46.208678 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 4, length 64
06:35:46.674806 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 4, length 64
06:35:47.209589 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 5, length 64
06:35:47.667265 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 5, length 64
06:35:48.211067 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 6, length 64
06:35:48.648867 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 6, length 64
06:35:49.212694 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 7, length 64
06:35:49.630567 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 7, length 64
06:35:50.213406 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 8, length 64
06:35:50.640869 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 8, length 64
06:35:51.214694 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 9, length 64
06:35:51.711184 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 9, length 64
06:35:52.215920 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 10, length 64
06:35:52.544196 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 10, length 64
06:35:53.217114 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 11, length 64
06:35:53.614158 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 11, length 64
06:35:54.218014 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 12, length 64
06:35:54.711785 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 12, length 64
06:35:55.219540 IP 10.8.2.5 > 82.102.20.236: ICMP echo request, id 494, seq 13, length 64
06:35:55.620064 IP 82.102.20.236 > 10.8.2.5: ICMP echo reply, id 494, seq 13, length 64
