06:37:51.982153 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 1, length 64
06:37:52.341237 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 1, length 64
06:37:52.992179 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 2, length 64
06:37:53.348113 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 2, length 64
06:37:53.992021 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 3, length 64
06:37:54.406341 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 3, length 64
06:37:54.992165 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 4, length 64
06:37:55.412994 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 4, length 64
06:37:55.992810 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 5, length 64
06:37:56.347631 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 5, length 64
06:37:56.993513 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 6, length 64
06:37:57.344639 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 6, length 64
06:37:57.993523 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 7, length 64
06:37:58.408640 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 7, length 64
06:37:58.993470 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 8, length 64
06:37:59.449031 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 8, length 64
06:37:59.993812 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 9, length 64
06:38:00.334318 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 9, length 64
06:38:00.994236 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 10, length 64
06:38:01.408752 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 10, length 64
06:38:01.994580 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 11, length 64
06:38:02.301776 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 11, length 64
06:38:02.994708 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 12, length 64
06:38:03.417783 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 12, length 64
06:38:03.994591 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 13, length 64
06:38:04.334440 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 13, length 64
06:38:04.994331 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 14, length 64
06:38:05.401489 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 14, length 64
06:38:05.994318 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 15, length 64
06:38:06.472511 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 15, length 64
06:38:06.994286 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 16, length 64
06:38:07.357719 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 16, length 64
06:38:07.994599 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 17, length 64
06:38:08.384346 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 17, length 64
06:38:08.995170 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 18, length 64
06:38:09.431447 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 18, length 64
06:38:09.995259 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 19, length 64
06:38:10.345652 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 19, length 64
06:38:10.995543 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 20, length 64
06:38:11.316854 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 20, length 64
06:38:11.995770 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 21, length 64
06:38:12.320447 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 21, length 64
06:38:12.996308 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 22, length 64
06:38:13.422209 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 22, length 64
06:38:13.995978 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 23, length 64
06:38:14.321741 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 23, length 64
06:38:14.996606 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 24, length 64
06:38:15.441958 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 24, length 64
06:38:15.996704 IP 10.8.2.5 > 82.102.18.252: ICMP echo request, id 504, seq 25, length 64
06:38:16.343576 IP 82.102.18.252 > 10.8.2.5: ICMP echo reply, id 504, seq 25, length 64
