18:20:27.003477 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 1, length 64
18:20:27.638709 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 2, length 64
18:20:28.003501 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 2, length 64
18:20:28.639386 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 3, length 64
18:20:29.004120 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 3, length 64
18:20:29.639991 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 4, length 64
18:20:30.004722 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 4, length 64
18:20:30.640200 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 5, length 64
18:20:31.005142 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 5, length 64
18:20:31.640011 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 6, length 64
18:20:32.004992 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 6, length 64
18:20:32.639861 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 7, length 64
18:20:33.011198 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 7, length 64
18:20:33.640050 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 8, length 64
18:20:34.009781 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 8, length 64
18:20:34.640645 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 9, length 64
18:20:35.005218 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 9, length 64
18:20:35.641108 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 10, length 64
18:20:36.010050 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 10, length 64
18:20:36.640910 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 11, length 64
18:20:37.009833 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 11, length 64
18:20:37.640725 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 12, length 64
18:20:38.009879 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 12, length 64
18:20:38.640744 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 13, length 64
18:20:39.009693 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 13, length 64
18:20:39.640199 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 14, length 64
18:20:40.005070 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 14, length 64
18:20:40.639932 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 15, length 64
18:20:41.010003 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 15, length 64
18:20:41.639864 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 16, length 64
18:20:42.004725 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 16, length 64
18:20:42.639589 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 17, length 64
18:20:43.010002 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 17, length 64
18:20:43.639861 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 18, length 64
18:20:44.004536 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 18, length 64
18:20:44.640205 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 19, length 64
18:20:45.010402 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 19, length 64
18:20:45.640272 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 20, length 64
18:20:46.005011 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 20, length 64
18:20:46.640878 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 21, length 64
18:20:47.009835 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 21, length 64
18:20:47.640199 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 22, length 64
18:20:48.005276 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 22, length 64
18:20:48.640142 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 23, length 64
18:20:49.011285 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 23, length 64
18:20:49.640155 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 24, length 64
18:20:50.004881 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 24, length 64
18:20:50.640761 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 25, length 64
18:20:51.010342 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 25, length 64
18:20:51.641206 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 26, length 64
18:20:52.010698 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 26, length 64
18:20:52.641554 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 27, length 64
18:20:53.010223 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 27, length 64
18:20:53.642086 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 28, length 64
18:20:54.014934 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 28, length 64
18:20:54.641789 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 29, length 64
18:20:55.010601 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 29, length 64
18:20:55.642465 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 30, length 64
18:20:56.010657 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 30, length 64
18:20:56.642521 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 31, length 64
18:20:57.015297 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 31, length 64
18:20:57.643174 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 32, length 64
18:20:58.014833 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 32, length 64
18:20:58.643702 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 33, length 64
18:20:59.011821 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 33, length 64
18:20:59.643655 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 34, length 64
18:21:00.012922 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 34, length 64
18:21:00.643800 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 35, length 64
18:21:01.014099 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 35, length 64
18:21:01.643962 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 36, length 64
18:21:02.010689 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 36, length 64
18:21:02.644200 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 37, length 64
18:21:03.021754 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 37, length 64
18:21:03.644618 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 38, length 64
18:21:04.015155 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 38, length 64
18:21:04.645011 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 39, length 64
18:21:05.014214 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 39, length 64
18:21:05.645089 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 40, length 64
18:21:06.014002 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 40, length 64
18:21:06.644868 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 41, length 64
18:21:07.014255 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 41, length 64
18:21:07.645130 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 42, length 64
18:21:08.018812 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 42, length 64
18:21:08.645673 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 43, length 64
18:21:09.014113 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 43, length 64
18:21:09.645985 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 44, length 64
18:21:10.014233 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 44, length 64
18:21:10.646094 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 45, length 64
18:21:11.013097 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 45, length 64
18:21:11.645964 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 46, length 64
18:21:12.015257 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 46, length 64
18:21:12.646121 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 47, length 64
18:21:13.014300 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 47, length 64
18:21:13.646170 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 48, length 64
18:21:14.012149 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 48, length 64
18:21:14.646016 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 49, length 64
18:21:15.014798 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 49, length 64
18:21:15.646677 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 50, length 64
18:21:16.017606 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 50, length 64
18:21:16.646465 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 51, length 64
18:21:17.011813 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 51, length 64
18:21:17.646679 IP 10.8.2.3 > 103.137.14.147: ICMP echo request, id 55, seq 52, length 64
18:21:18.021630 IP 103.137.14.147 > 10.8.2.3: ICMP echo reply, id 55, seq 52, length 64
