18:10:13.167902 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 1, length 64
18:10:13.544778 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 1, length 64
18:10:14.167947 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 2, length 64
18:10:14.546411 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 2, length 64
18:10:15.169015 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 3, length 64
18:10:15.548256 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 3, length 64
18:10:16.170082 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 4, length 64
18:10:16.549790 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 4, length 64
18:10:17.171154 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 5, length 64
18:10:17.548257 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 5, length 64
18:10:18.172141 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 6, length 64
18:10:18.544296 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 6, length 64
18:10:19.173158 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 7, length 64
18:10:20.188207 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 8, length 64
18:10:20.571358 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 8, length 64
18:10:21.189216 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 9, length 64
18:10:21.576600 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 9, length 64
18:10:22.190456 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 10, length 64
18:10:22.568386 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 10, length 64
18:10:23.191246 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 11, length 64
18:10:23.562581 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 11, length 64
18:10:24.192455 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 12, length 64
18:10:24.569594 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 12, length 64
18:10:25.193446 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 13, length 64
18:10:25.569996 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 13, length 64
18:10:26.194861 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 14, length 64
18:10:26.579029 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 14, length 64
18:10:27.195875 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 15, length 64
18:10:27.575233 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 15, length 64
18:10:28.197097 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 16, length 64
18:10:28.576480 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 16, length 64
18:10:29.198345 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 17, length 64
18:10:29.582868 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 17, length 64
18:10:30.199716 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 18, length 64
18:10:30.565532 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 18, length 64
18:10:31.201411 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 19, length 64
18:10:31.564976 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 19, length 64
18:10:32.202856 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 20, length 64
18:10:32.580809 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 20, length 64
18:10:33.203672 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 21, length 64
18:10:33.580571 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 21, length 64
18:10:34.204446 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 22, length 64
18:10:34.568359 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 22, length 64
18:10:35.205226 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 23, length 64
18:10:36.220214 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 24, length 64
18:10:37.244212 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 25, length 64
18:10:38.268219 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 26, length 64
18:10:38.631996 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 26, length 64
18:10:39.269895 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 27, length 64
18:10:40.284221 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 28, length 64
18:10:40.661488 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 28, length 64
18:10:41.285356 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 29, length 64
18:10:41.650120 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 29, length 64
18:10:42.287025 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 30, length 64
18:10:42.658669 IP 185.106.102.201 > 10.8.2.3: ICMP echo reply, id 16, seq 30, length 64
18:10:43.288473 IP 10.8.2.3 > 185.106.102.201: ICMP echo request, id 16, seq 31, length 64
