18:08:10.431872 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 1, length 64
18:08:10.762522 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 1, length 64
18:08:11.507478 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 2, length 64
18:08:11.837961 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 2, length 64
18:08:12.508877 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 3, length 64
18:08:12.839775 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 3, length 64
18:08:13.509622 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 4, length 64
18:08:13.840164 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 4, length 64
18:08:14.511081 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 5, length 64
18:08:14.842574 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 5, length 64
18:08:15.512487 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 6, length 64
18:08:15.843400 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 6, length 64
18:08:16.513314 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 7, length 64
18:08:16.843762 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 7, length 64
18:08:17.514678 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 8, length 64
18:08:17.845192 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 8, length 64
18:08:18.516117 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 9, length 64
18:08:18.846577 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 9, length 64
18:08:19.517483 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 10, length 64
18:08:19.848254 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 10, length 64
18:08:20.519163 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 11, length 64
18:08:20.849426 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 11, length 64
18:08:21.520344 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 12, length 64
18:08:21.851078 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 12, length 64
18:08:22.521981 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 13, length 64
18:08:22.852757 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 13, length 64
18:08:23.523667 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 14, length 64
18:08:23.854346 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 14, length 64
18:08:24.525225 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 15, length 64
18:08:24.855543 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 15, length 64
18:08:25.526461 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 16, length 64
18:08:25.856961 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 16, length 64
18:08:26.527888 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 17, length 64
18:08:26.858375 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 17, length 64
18:08:27.529289 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 18, length 64
18:08:27.859821 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 18, length 64
18:08:28.530687 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 19, length 64
18:08:28.861004 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 19, length 64
18:08:29.531835 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 20, length 64
18:08:29.862168 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 20, length 64
18:08:30.533094 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 21, length 64
18:08:30.863960 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 21, length 64
18:08:31.534789 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 22, length 64
18:08:31.865274 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 22, length 64
18:08:32.536192 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 23, length 64
18:08:32.866551 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 23, length 64
18:08:33.537463 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 24, length 64
18:08:33.867899 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 24, length 64
18:08:34.538811 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 25, length 64
18:08:34.869119 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 25, length 64
18:08:35.540024 IP 10.8.2.3 > 89.238.186.244: ICMP echo request, id 8, seq 26, length 64
18:08:35.870943 IP 89.238.186.244 > 10.8.2.3: ICMP echo reply, id 8, seq 26, length 64
