18:18:24.227641 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 1, length 64
18:18:24.551400 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 1, length 64
18:18:25.519492 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 2, length 64
18:18:25.843634 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 2, length 64
18:18:26.520569 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 3, length 64
18:18:26.844874 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 3, length 64
18:18:27.521783 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 4, length 64
18:18:27.846190 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 4, length 64
18:18:28.523110 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 5, length 64
18:18:28.848066 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 5, length 64
18:18:29.523984 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 6, length 64
18:18:29.848255 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 6, length 64
18:18:30.525169 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 7, length 64
18:18:30.849100 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 7, length 64
18:18:31.526021 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 8, length 64
18:18:31.849736 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 8, length 64
18:18:32.527652 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 9, length 64
18:18:32.851522 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 9, length 64
18:18:33.528435 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 10, length 64
18:18:33.852746 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 10, length 64
18:18:34.529664 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 11, length 64
18:18:34.853767 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 11, length 64
18:18:35.530671 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 12, length 64
18:18:35.854473 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 12, length 64
18:18:36.532380 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 13, length 64
18:18:36.856439 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 13, length 64
18:18:37.533333 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 14, length 64
18:18:37.857184 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 14, length 64
18:18:38.534106 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 15, length 64
18:18:38.857848 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 15, length 64
18:18:39.535755 IP 10.8.2.3 > 178.175.133.99: ICMP echo request, id 48, seq 16, length 64
18:18:39.859829 IP 178.175.133.99 > 10.8.2.3: ICMP echo reply, id 48, seq 16, length 64
