18:22:29.725581 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 1, length 64
18:22:29.962327 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 1, length 64
18:22:33.904261 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 2, length 64
18:22:34.140696 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 2, length 64
18:22:34.904198 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 3, length 64
18:22:35.140664 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 3, length 64
18:22:35.904201 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 4, length 64
18:22:36.140653 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 4, length 64
18:22:36.904657 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 5, length 64
18:22:37.141125 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 5, length 64
18:22:37.905120 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 6, length 64
18:22:38.141556 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 6, length 64
18:22:38.905549 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 7, length 64
18:22:39.142160 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 7, length 64
18:22:39.906152 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 8, length 64
18:22:40.142564 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 8, length 64
18:22:40.906559 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 9, length 64
18:22:41.143211 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 9, length 64
18:22:41.907214 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 10, length 64
18:22:42.143968 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 10, length 64
18:22:42.907980 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 11, length 64
18:22:43.144620 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 11, length 64
18:22:43.908616 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 12, length 64
18:22:44.145252 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 12, length 64
18:22:44.909248 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 13, length 64
18:22:45.145452 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 13, length 64
18:22:45.909447 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 14, length 64
18:22:46.146017 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 14, length 64
18:22:46.910007 IP 10.8.2.3 > 192.154.196.13: ICMP echo request, id 64, seq 15, length 64
18:22:47.146329 IP 192.154.196.13 > 10.8.2.3: ICMP echo reply, id 64, seq 15, length 64
