20:54:36.761894 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 2, length 64
20:54:37.258691 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 2, length 64
20:54:37.762440 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 3, length 64
20:54:38.259276 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 3, length 64
20:54:38.762041 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 4, length 64
20:54:39.258793 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 4, length 64
20:54:39.762544 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 5, length 64
20:54:40.259556 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 5, length 64
20:54:40.762291 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 6, length 64
20:54:41.263146 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 6, length 64
20:54:41.761884 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 7, length 64
20:54:42.258508 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 7, length 64
20:54:42.762208 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 8, length 64
20:54:43.259826 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 8, length 64
20:54:43.762584 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 9, length 64
20:54:44.261827 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 9, length 64
20:54:44.762572 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 10, length 64
20:54:45.259591 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 10, length 64
20:54:45.762339 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 11, length 64
20:54:46.265050 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 11, length 64
20:54:46.762790 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 12, length 64
20:54:47.267632 IP 45.228.209.43 > 10.8.1.12: ICMP echo reply, id 632, seq 12, length 64
20:54:47.762371 IP 10.8.1.12 > 45.228.209.43: ICMP echo request, id 632, seq 13, length 64
