20:53:34.524200 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 2, length 64
20:53:34.987276 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 2, length 64
20:53:35.525060 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 3, length 64
20:53:35.986545 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 3, length 64
20:53:36.526337 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 4, length 64
20:53:36.985683 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 4, length 64
20:53:37.527438 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 5, length 64
20:53:37.986565 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 5, length 64
20:53:38.528330 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 6, length 64
20:53:38.987698 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 6, length 64
20:53:39.529456 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 7, length 64
20:53:39.988941 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 7, length 64
20:53:40.530740 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 8, length 64
20:53:40.990584 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 8, length 64
20:53:41.531368 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 9, length 64
20:53:41.990576 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 9, length 64
20:53:42.532359 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 10, length 64
20:53:42.996035 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 10, length 64
20:53:43.533816 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 11, length 64
20:53:43.993197 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 11, length 64
20:53:44.534980 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 12, length 64
20:53:45.001227 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 12, length 64
20:53:45.534999 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 13, length 64
20:53:46.001591 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 13, length 64
20:53:46.535356 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 14, length 64
20:53:46.994629 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 14, length 64
20:53:47.536415 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 15, length 64
20:53:47.995799 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 15, length 64
20:53:48.537582 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 16, length 64
20:53:49.001486 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 16, length 64
20:53:49.537266 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 17, length 64
20:53:49.998636 IP 84.17.37.226 > 10.8.1.12: ICMP echo reply, id 628, seq 17, length 64
20:53:50.538417 IP 10.8.1.12 > 84.17.37.226: ICMP echo request, id 628, seq 18, length 64
