20:58:46.188957 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 1, length 64
20:58:46.496031 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 1, length 64
20:58:47.591127 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 2, length 64
20:58:48.604195 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 3, length 64
20:58:48.911120 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 3, length 64
20:58:49.605062 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 4, length 64
20:58:49.912250 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 4, length 64
20:58:50.606176 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 5, length 64
20:58:50.913649 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 5, length 64
20:58:51.607581 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 6, length 64
20:58:51.914703 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 6, length 64
20:58:52.608633 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 7, length 64
20:58:52.915934 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 7, length 64
20:58:53.609862 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 8, length 64
20:58:53.917150 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 8, length 64
20:58:54.611083 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 9, length 64
20:58:54.918503 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 9, length 64
20:58:55.612433 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 10, length 64
20:58:55.920017 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 10, length 64
20:58:56.613962 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 11, length 64
20:58:56.920968 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 11, length 64
20:58:57.614903 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 12, length 64
20:58:57.922030 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 12, length 64
20:58:58.615958 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 13, length 64
20:58:58.923187 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 13, length 64
20:58:59.617118 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 14, length 64
20:58:59.924338 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 14, length 64
20:59:00.618270 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 15, length 64
20:59:00.925419 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 15, length 64
20:59:01.619334 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 16, length 64
20:59:01.926407 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 16, length 64
20:59:02.620345 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 17, length 64
20:59:03.186804 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 17, length 64
20:59:03.620464 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 18, length 64
20:59:03.927856 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 18, length 64
20:59:04.621787 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 19, length 64
20:59:04.929259 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 19, length 64
20:59:05.623190 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 20, length 64
20:59:05.930311 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 20, length 64
20:59:06.624252 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 21, length 64
20:59:06.933076 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 21, length 64
20:59:07.626012 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 22, length 64
20:59:07.933130 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 22, length 64
20:59:08.627062 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 23, length 64
20:59:08.934124 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 23, length 64
20:59:09.628084 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 24, length 64
20:59:09.935139 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 24, length 64
20:59:10.629095 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 25, length 64
20:59:10.936520 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 25, length 64
20:59:11.630443 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 26, length 64
20:59:12.636233 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 27, length 64
20:59:13.660206 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 28, length 64
20:59:13.830731 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 26, length 64
20:59:13.831055 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 27, length 64
20:59:13.967565 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 28, length 64
20:59:14.661492 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 29, length 64
20:59:14.968810 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 29, length 64
20:59:15.662732 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 30, length 64
20:59:15.969770 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 30, length 64
20:59:16.663690 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 31, length 64
20:59:16.970938 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 31, length 64
20:59:17.664859 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 32, length 64
20:59:17.971979 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 32, length 64
20:59:18.665910 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 33, length 64
20:59:18.973430 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 33, length 64
20:59:19.667274 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 34, length 64
20:59:19.978652 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 34, length 64
20:59:20.668200 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 35, length 64
20:59:20.978652 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 35, length 64
20:59:21.669574 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 36, length 64
20:59:21.979265 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 36, length 64
20:59:22.671191 IP 10.8.1.12 > 185.65.50.11: ICMP echo request, id 650, seq 37, length 64
20:59:22.979312 IP 185.65.50.11 > 10.8.1.12: ICMP echo reply, id 650, seq 37, length 64
