20:46:16.137992 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 1, length 64
20:46:16.445767 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 1, length 64
20:46:17.589327 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 2, length 64
20:46:17.897173 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 2, length 64
20:46:18.590128 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 3, length 64
20:46:18.897924 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 3, length 64
20:46:19.591859 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 4, length 64
20:46:19.900024 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 4, length 64
20:46:20.592953 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 5, length 64
20:46:20.900800 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 5, length 64
20:46:21.593729 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 6, length 64
20:46:21.901618 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 6, length 64
20:46:22.594542 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 7, length 64
20:46:22.902357 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 7, length 64
20:46:23.596276 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 8, length 64
20:46:23.903984 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 8, length 64
20:46:24.597924 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 9, length 64
20:46:24.905584 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 9, length 64
20:46:25.599500 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 10, length 64
20:46:25.907194 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 10, length 64
20:46:26.601117 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 11, length 64
20:46:26.908878 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 11, length 64
20:46:27.602801 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 12, length 64
20:46:27.910564 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 12, length 64
20:46:28.604491 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 13, length 64
20:46:28.912281 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 13, length 64
20:46:29.606216 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 14, length 64
20:46:29.914041 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 14, length 64
20:46:30.607968 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 15, length 64
20:46:30.915490 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 15, length 64
20:46:31.609427 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 16, length 64
20:46:31.917282 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 16, length 64
20:46:32.610209 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 17, length 64
20:46:32.918278 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 17, length 64
20:46:33.611208 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 18, length 64
20:46:33.918705 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 18, length 64
20:46:34.612194 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 19, length 64
20:46:34.921581 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 19, length 64
20:46:35.613507 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 20, length 64
20:46:35.921322 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 20, length 64
20:46:36.615253 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 21, length 64
20:46:36.923322 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 21, length 64
20:46:37.616260 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 22, length 64
20:46:37.923750 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 22, length 64
20:46:38.617663 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 23, length 64
20:46:38.925174 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 23, length 64
20:46:39.619083 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 24, length 64
20:46:39.926794 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 24, length 64
20:46:40.620724 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 25, length 64
20:46:40.928359 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 25, length 64
20:46:41.622289 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 26, length 64
20:46:41.930010 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 26, length 64
20:46:42.623940 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 27, length 64
20:46:42.932824 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 27, length 64
20:46:43.624751 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 28, length 64
20:46:43.932498 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 28, length 64
20:46:44.626431 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 29, length 64
20:46:44.934389 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 29, length 64
20:46:45.627324 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 30, length 64
20:46:45.935612 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 30, length 64
20:46:46.628542 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 31, length 64
20:46:46.936257 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 31, length 64
20:46:47.630183 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 32, length 64
20:46:47.937686 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 32, length 64
20:46:48.631613 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 33, length 64
20:46:48.939278 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 33, length 64
20:46:49.633209 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 34, length 64
20:46:49.940950 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 34, length 64
20:46:50.634880 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 35, length 64
20:46:50.942688 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 35, length 64
20:46:51.636614 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 36, length 64
20:46:51.944727 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 36, length 64
20:46:52.637652 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 37, length 64
20:46:52.945312 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 37, length 64
20:46:53.639244 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 38, length 64
20:46:53.947179 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 38, length 64
20:46:54.640124 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 39, length 64
20:46:54.947800 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 39, length 64
20:46:55.641721 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 40, length 64
20:46:55.949368 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 40, length 64
20:46:56.643296 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 41, length 64
20:46:56.951021 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 41, length 64
20:46:57.644946 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 42, length 64
20:46:58.652201 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 43, length 64
20:46:59.169750 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 42, length 64
20:46:59.170166 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 43, length 64
20:46:59.651866 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 44, length 64
20:46:59.959559 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 44, length 64
20:47:00.653485 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 45, length 64
20:47:00.961005 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 45, length 64
20:47:01.654930 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 46, length 64
20:47:01.962393 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 46, length 64
20:47:02.656320 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 47, length 64
20:47:02.964009 IP 86.106.137.187 > 10.8.1.12: ICMP echo reply, id 602, seq 47, length 64
20:47:03.657957 IP 10.8.1.12 > 86.106.137.187: ICMP echo request, id 602, seq 48, length 64
