20:48:20.866783 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 1, length 64
20:48:21.297499 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 1, length 64
20:48:21.940823 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 2, length 64
20:48:22.371560 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 2, length 64
20:48:22.941349 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 3, length 64
20:48:23.372193 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 3, length 64
20:48:23.941009 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 4, length 64
20:48:24.371827 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 4, length 64
20:48:24.941635 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 5, length 64
20:48:25.372403 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 5, length 64
20:48:25.942213 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 6, length 64
20:48:26.372900 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 6, length 64
20:48:26.942725 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 7, length 64
20:48:27.373420 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 7, length 64
20:48:27.943228 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 8, length 64
20:48:28.374046 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 8, length 64
20:48:28.943853 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 9, length 64
20:48:29.374445 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 9, length 64
20:48:29.944257 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 10, length 64
20:48:30.375073 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 10, length 64
20:48:30.944881 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 11, length 64
20:48:31.375671 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 11, length 64
20:48:31.945483 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 12, length 64
20:48:32.376139 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 12, length 64
20:48:32.945939 IP 10.8.1.12 > 103.107.198.131: ICMP echo request, id 610, seq 13, length 64
20:48:33.376926 IP 103.107.198.131 > 10.8.1.12: ICMP echo reply, id 610, seq 13, length 64
