20:49:23.200971 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 1, length 64
20:49:23.650298 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 1, length 64
20:49:24.319870 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 2, length 64
20:49:24.768791 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 2, length 64
20:49:25.320562 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 3, length 64
20:49:25.769741 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 3, length 64
20:49:26.321546 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 4, length 64
20:49:26.770718 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 4, length 64
20:49:27.322459 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 5, length 64
20:49:27.771570 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 5, length 64
20:49:28.323346 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 6, length 64
20:49:28.772421 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 6, length 64
20:49:29.324199 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 7, length 64
20:49:29.773171 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 7, length 64
20:49:30.324950 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 8, length 64
20:49:30.774010 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 8, length 64
20:49:31.325798 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 9, length 64
20:49:31.774778 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 9, length 64
20:49:32.326559 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 10, length 64
20:49:32.775644 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 10, length 64
20:49:33.327421 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 11, length 64
20:49:33.776647 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 11, length 64
20:49:34.328432 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 12, length 64
20:49:34.777484 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 12, length 64
20:49:35.329263 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 13, length 64
20:49:35.778211 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 13, length 64
20:49:36.329929 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 14, length 64
20:49:36.778906 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 14, length 64
20:49:37.330688 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 15, length 64
20:49:37.779701 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 15, length 64
20:49:38.331484 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 16, length 64
20:49:38.780546 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 16, length 64
20:49:39.332332 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 17, length 64
20:49:39.781507 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 17, length 64
20:49:40.333296 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 18, length 64
20:49:40.782946 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 18, length 64
20:49:41.334734 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 19, length 64
20:49:41.788172 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 19, length 64
20:49:42.335953 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 20, length 64
20:49:42.784849 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 20, length 64
20:49:43.337550 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 21, length 64
20:49:43.786607 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 21, length 64
20:49:44.338405 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 22, length 64
20:49:44.787552 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 22, length 64
20:49:45.339342 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 23, length 64
20:49:45.788497 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 23, length 64
20:49:46.340289 IP 10.8.1.12 > 84.17.41.130: ICMP echo request, id 614, seq 24, length 64
20:49:46.789426 IP 84.17.41.130 > 10.8.1.12: ICMP echo reply, id 614, seq 24, length 64
