20:57:43.696763 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 1, length 64
20:57:48.666571 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 2, length 64
20:57:49.105065 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 2, length 64
20:57:49.666866 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 3, length 64
20:57:50.105909 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 3, length 64
20:57:50.666715 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 4, length 64
20:57:51.105700 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 4, length 64
20:57:51.666507 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 5, length 64
20:57:52.105281 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 5, length 64
20:57:52.667083 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 6, length 64
20:57:53.106305 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 6, length 64
20:57:53.667096 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 7, length 64
20:57:54.105731 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 7, length 64
20:57:54.667525 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 8, length 64
20:57:55.106090 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 8, length 64
20:57:55.667898 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 9, length 64
20:57:56.106521 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 9, length 64
20:57:56.668161 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 10, length 64
20:57:57.107024 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 10, length 64
20:57:57.667828 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 11, length 64
20:57:58.106490 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 11, length 64
20:57:58.668304 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 12, length 64
20:57:59.106746 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 12, length 64
20:57:59.668554 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 13, length 64
20:58:00.107630 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 13, length 64
20:58:00.668428 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 14, length 64
20:58:01.106960 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 14, length 64
20:58:01.668208 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 15, length 64
20:58:02.106614 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 15, length 64
20:58:02.668413 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 16, length 64
20:58:03.107027 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 16, length 64
20:58:03.668821 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 17, length 64
20:58:04.107866 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 17, length 64
20:58:04.668659 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 18, length 64
20:58:05.692229 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 19, length 64
20:58:06.131215 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 19, length 64
20:58:06.692019 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 20, length 64
20:58:07.130509 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 20, length 64
20:58:07.692234 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 21, length 64
20:58:08.130936 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 21, length 64
20:58:08.692737 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 22, length 64
20:58:09.131325 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 22, length 64
20:58:09.693121 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 23, length 64
20:58:10.131946 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 23, length 64
20:58:10.693742 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 24, length 64
20:58:11.132362 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 24, length 64
20:58:11.694177 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 25, length 64
20:58:12.132812 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 25, length 64
20:58:12.694620 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 26, length 64
20:58:13.133280 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 26, length 64
20:58:13.695093 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 27, length 64
20:58:14.133563 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 27, length 64
20:58:14.695361 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 28, length 64
20:58:15.134732 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 28, length 64
20:58:15.695525 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 29, length 64
20:58:16.134090 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 29, length 64
20:58:16.695899 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 30, length 64
20:58:17.134440 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 30, length 64
20:58:17.696168 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 31, length 64
20:58:18.134649 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 31, length 64
20:58:18.696203 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 32, length 64
20:58:19.135227 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 32, length 64
20:58:19.696022 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 33, length 64
20:58:20.134875 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 33, length 64
20:58:20.695672 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 34, length 64
20:58:21.134329 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 34, length 64
20:58:21.696142 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 35, length 64
20:58:22.134915 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 35, length 64
20:58:22.696203 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 36, length 64
20:58:23.134963 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 36, length 64
20:58:23.696224 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 37, length 64
20:58:24.134935 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 37, length 64
20:58:24.696201 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 38, length 64
20:58:25.134737 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 38, length 64
20:58:25.696206 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 39, length 64
20:58:26.134797 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 39, length 64
20:58:26.696146 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 40, length 64
20:58:27.134548 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 40, length 64
20:58:27.696171 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 41, length 64
20:58:28.134562 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 41, length 64
20:58:28.696198 IP 10.8.1.12 > 192.145.118.100: ICMP echo request, id 645, seq 42, length 64
20:58:29.134835 IP 192.145.118.100 > 10.8.1.12: ICMP echo reply, id 645, seq 42, length 64
