18:26:40.974760 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 2, length 64
18:26:41.467655 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 2, length 64
18:26:41.975329 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 3, length 64
18:26:42.467848 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 3, length 64
18:26:42.975204 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 4, length 64
18:26:43.467986 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 4, length 64
18:26:43.975744 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 5, length 64
18:26:44.468912 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 5, length 64
18:26:44.975657 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 6, length 64
18:26:45.469787 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 6, length 64
18:26:45.975521 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 7, length 64
18:26:46.468278 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 7, length 64
18:26:46.976015 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 8, length 64
18:26:47.468136 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 8, length 64
18:26:47.975877 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 9, length 64
18:26:48.468062 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 9, length 64
18:26:48.975806 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 10, length 64
18:26:49.470136 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 10, length 64
18:26:49.975877 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 11, length 64
18:26:50.469169 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 11, length 64
18:26:50.975907 IP 10.8.0.3 > 82.102.18.252: ICMP echo request, id 912, seq 12, length 64
18:26:51.468257 IP 82.102.18.252 > 10.8.0.3: ICMP echo reply, id 912, seq 12, length 64
