18:27:43.183087 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 1, length 64
18:27:44.856588 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 2, length 64
18:27:45.359830 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 2, length 64
18:27:45.856576 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 3, length 64
18:27:46.875252 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 4, length 64
18:27:47.378895 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 4, length 64
18:27:47.875289 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 5, length 64
18:27:48.378590 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 5, length 64
18:27:48.875338 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 6, length 64
18:27:49.378841 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 6, length 64
18:27:49.875566 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 7, length 64
18:27:50.379042 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 7, length 64
18:27:50.875795 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 8, length 64
18:27:51.379343 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 8, length 64
18:27:51.876048 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 9, length 64
18:27:52.379437 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 9, length 64
18:27:52.876171 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 10, length 64
18:27:53.379852 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 10, length 64
18:27:53.876591 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 11, length 64
18:27:54.379972 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 11, length 64
18:27:54.876675 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 12, length 64
18:27:55.379813 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 12, length 64
18:27:55.876532 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 13, length 64
18:27:56.379889 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 13, length 64
18:27:56.876617 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 14, length 64
18:27:57.379737 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 14, length 64
18:27:57.876456 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 15, length 64
18:27:58.379772 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 15, length 64
18:27:58.876473 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 16, length 64
18:27:59.379782 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 16, length 64
18:27:59.876508 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 17, length 64
18:28:00.379794 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 17, length 64
18:28:00.876506 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 18, length 64
18:28:01.379905 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 18, length 64
18:28:01.876638 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 19, length 64
18:28:02.379845 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 19, length 64
18:28:02.876576 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 20, length 64
18:28:03.379926 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 20, length 64
18:28:03.876645 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 21, length 64
18:28:04.381394 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 21, length 64
18:28:04.877126 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 22, length 64
18:28:05.380218 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 22, length 64
18:28:05.876946 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 23, length 64
18:28:06.381100 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 23, length 64
18:28:06.876832 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 24, length 64
18:28:07.379982 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 24, length 64
18:28:07.876688 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 25, length 64
18:28:08.379948 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 25, length 64
18:28:08.876691 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 26, length 64
18:28:09.380900 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 26, length 64
18:28:09.876621 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 27, length 64
18:28:10.381543 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 27, length 64
18:28:10.876228 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 28, length 64
18:28:11.380836 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 28, length 64
18:28:11.876571 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 29, length 64
18:28:12.381269 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 29, length 64
18:28:12.876999 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 30, length 64
18:28:13.380500 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 30, length 64
18:28:13.877229 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 31, length 64
18:28:14.389609 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 31, length 64
18:28:14.877329 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 32, length 64
18:28:15.382773 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 32, length 64
18:28:15.877503 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 33, length 64
18:28:16.380752 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 33, length 64
18:28:16.877481 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 34, length 64
18:28:17.404393 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 34, length 64
18:28:17.877086 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 35, length 64
18:28:18.380429 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 35, length 64
18:28:18.877147 IP 10.8.0.3 > 217.23.2.31: ICMP echo request, id 916, seq 36, length 64
18:28:19.386108 IP 217.23.2.31 > 10.8.0.3: ICMP echo reply, id 916, seq 36, length 64
