18:37:05.527919 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 2, length 64
18:37:06.005643 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 3, length 64
18:37:06.533575 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 3, length 64
18:37:07.006292 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 4, length 64
18:37:07.531985 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 4, length 64
18:37:08.007657 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 5, length 64
18:37:08.531824 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 5, length 64
18:37:09.008585 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 6, length 64
18:37:09.531428 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 6, length 64
18:37:10.010145 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 7, length 64
18:37:10.532967 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 7, length 64
18:37:11.010694 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 8, length 64
18:37:11.554330 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 8, length 64
18:37:12.012017 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 9, length 64
18:37:12.533944 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 9, length 64
18:37:13.012654 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 10, length 64
18:37:13.543652 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 10, length 64
18:37:14.013354 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 11, length 64
18:37:14.538174 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 11, length 64
18:37:15.014886 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 12, length 64
18:37:15.536664 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 12, length 64
18:37:16.016374 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 13, length 64
18:37:16.538937 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 13, length 64
18:37:17.017639 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 14, length 64
18:37:17.540136 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 14, length 64
18:37:18.018852 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 15, length 64
18:37:18.542002 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 15, length 64
18:37:19.019712 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 16, length 64
18:37:19.543420 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 16, length 64
18:37:20.021131 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 17, length 64
18:37:20.542841 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 17, length 64
18:37:21.022563 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 18, length 64
18:37:21.544547 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 18, length 64
18:37:22.023263 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 19, length 64
18:37:22.545278 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 19, length 64
18:37:23.023986 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 20, length 64
18:37:23.549650 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 20, length 64
18:37:24.025356 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 21, length 64
18:37:24.555217 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 21, length 64
18:37:25.025921 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 22, length 64
18:37:25.547424 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 22, length 64
18:37:26.027136 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 23, length 64
18:37:26.548938 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 23, length 64
18:37:27.028656 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 24, length 64
18:37:27.550372 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 24, length 64
18:37:28.030099 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 25, length 64
18:37:28.552360 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 25, length 64
18:37:29.031091 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 26, length 64
18:37:29.553374 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 26, length 64
18:37:30.032081 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 27, length 64
18:37:30.554132 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 27, length 64
18:37:31.032857 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 28, length 64
18:37:31.554701 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 28, length 64
18:37:32.033412 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 29, length 64
18:37:32.555106 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 29, length 64
18:37:33.034817 IP 10.8.0.3 > 82.102.27.211: ICMP echo request, id 951, seq 30, length 64
18:37:33.557576 IP 82.102.27.211 > 10.8.0.3: ICMP echo reply, id 951, seq 30, length 64
