18:33:58.387651 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 2, length 64
18:33:58.900142 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 2, length 64
18:33:59.388786 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 3, length 64
18:33:59.901310 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 3, length 64
18:34:00.390066 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 4, length 64
18:34:00.902749 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 4, length 64
18:34:01.391245 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 5, length 64
18:34:01.905349 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 5, length 64
18:34:02.392061 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 6, length 64
18:34:02.905805 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 6, length 64
18:34:03.393522 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 7, length 64
18:34:03.906924 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 7, length 64
18:34:04.394607 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 8, length 64
18:34:04.907915 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 8, length 64
18:34:05.395240 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 9, length 64
18:34:05.908733 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 9, length 64
18:34:06.396427 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 10, length 64
18:34:06.909165 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 10, length 64
18:34:07.397917 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 11, length 64
18:34:07.910784 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 11, length 64
18:34:08.398481 IP 10.8.0.3 > 195.158.249.7: ICMP echo request, id 940, seq 12, length 64
18:34:08.911025 IP 195.158.249.7 > 10.8.0.3: ICMP echo reply, id 940, seq 12, length 64
