18:26:40.803286 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 2, length 64
18:26:41.303943 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 2, length 64
18:26:41.803696 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 3, length 64
18:26:42.305293 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 3, length 64
18:26:42.804070 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 4, length 64
18:26:43.304261 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 4, length 64
18:26:43.804013 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 5, length 64
18:26:44.305545 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 5, length 64
18:26:44.804285 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 6, length 64
18:26:45.308794 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 6, length 64
18:26:45.804528 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 7, length 64
18:26:46.305087 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 7, length 64
18:26:46.804825 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 8, length 64
18:26:47.305339 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 8, length 64
18:26:47.805076 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 9, length 64
18:26:48.305068 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 9, length 64
18:26:48.804808 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 10, length 64
18:26:49.306213 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 10, length 64
18:26:49.804959 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 11, length 64
18:26:50.306004 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 11, length 64
18:26:50.804742 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 12, length 64
18:26:51.307667 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 12, length 64
18:26:51.804402 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 13, length 64
18:26:52.311725 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 13, length 64
18:26:52.804461 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 14, length 64
18:26:53.304550 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 14, length 64
18:26:53.804288 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 15, length 64
18:26:54.305214 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 15, length 64
18:26:54.803954 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 16, length 64
18:26:55.307513 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 16, length 64
18:26:55.804245 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 17, length 64
18:26:56.304372 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 17, length 64
18:26:56.804110 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 18, length 64
18:26:57.304239 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 18, length 64
18:26:57.803977 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 19, length 64
18:26:58.304696 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 19, length 64
18:26:58.804438 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 20, length 64
18:26:59.304606 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 20, length 64
18:26:59.804344 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 21, length 64
18:27:00.304435 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 21, length 64
18:27:00.804176 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 22, length 64
18:27:01.307088 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 22, length 64
18:27:01.803835 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 23, length 64
18:27:02.303977 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 23, length 64
18:27:02.803718 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 24, length 64
18:27:03.305682 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 24, length 64
18:27:03.803390 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 25, length 64
18:27:04.304292 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 25, length 64
18:27:04.803029 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 26, length 64
18:27:05.304798 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 26, length 64
18:27:05.803535 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 27, length 64
18:27:06.303846 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 27, length 64
18:27:06.803584 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 28, length 64
18:27:07.303528 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 28, length 64
18:27:07.803244 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 29, length 64
18:27:08.304014 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 29, length 64
18:27:08.803762 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 30, length 64
18:27:09.305171 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 30, length 64
18:27:09.803823 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 31, length 64
18:27:10.304353 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 31, length 64
18:27:10.804094 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 32, length 64
18:27:11.305202 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 32, length 64
18:27:11.803937 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 33, length 64
18:27:12.304271 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 33, length 64
18:27:12.804012 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 34, length 64
18:27:13.304541 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 34, length 64
18:27:13.804282 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 35, length 64
18:27:14.306568 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 35, length 64
18:27:14.804266 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 36, length 64
18:27:15.304659 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 36, length 64
18:27:15.804391 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 37, length 64
18:27:16.304503 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 37, length 64
18:27:16.804236 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 38, length 64
18:27:17.304384 IP 81.92.202.11 > 10.8.0.3: ICMP echo reply, id 911, seq 38, length 64
18:27:17.804119 IP 10.8.0.3 > 81.92.202.11: ICMP echo request, id 911, seq 39, length 64
