23:57:45.818455 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 1, length 64
23:57:46.844217 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 2, length 64
23:57:47.242068 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 2, length 64
23:57:48.379574 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 3, length 64
23:57:48.782828 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 3, length 64
23:57:49.380659 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 4, length 64
23:57:49.791695 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 4, length 64
23:57:50.381524 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 5, length 64
23:57:51.388199 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 6, length 64
23:57:51.797520 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 6, length 64
23:57:52.389299 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 7, length 64
23:57:52.799303 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 7, length 64
23:57:53.389995 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 8, length 64
23:57:53.799460 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 8, length 64
23:57:54.391298 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 9, length 64
23:57:55.420199 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 10, length 64
23:57:55.830384 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 10, length 64
23:57:56.421212 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 11, length 64
23:57:56.831840 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 11, length 64
23:57:57.422651 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 12, length 64
23:57:57.833541 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 12, length 64
23:57:58.423343 IP 10.8.2.3 > 185.189.114.28: ICMP echo request, id 1316, seq 13, length 64
23:57:58.832894 IP 185.189.114.28 > 10.8.2.3: ICMP echo reply, id 1316, seq 13, length 64
