00:13:53.483365 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 2, length 64
00:13:53.905860 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 2, length 64
00:13:54.484682 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 3, length 64
00:13:54.907504 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 3, length 64
00:13:55.486316 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 4, length 64
00:13:55.911501 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 4, length 64
00:13:56.487312 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 5, length 64
00:13:56.915583 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 5, length 64
00:13:57.488390 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 6, length 64
00:13:57.897946 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 6, length 64
00:13:58.489770 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 7, length 64
00:13:59.516203 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 8, length 64
00:13:59.935657 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 8, length 64
00:14:00.517476 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 9, length 64
00:14:00.939865 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 9, length 64
00:14:01.518687 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 10, length 64
00:14:01.928196 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 10, length 64
00:14:02.519956 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 11, length 64
00:14:02.929915 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 11, length 64
00:14:03.520779 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 12, length 64
00:14:03.942727 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 12, length 64
00:14:04.521545 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 13, length 64
00:14:04.946883 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 13, length 64
00:14:05.522685 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 14, length 64
00:14:05.944554 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 14, length 64
00:14:06.523358 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 15, length 64
00:14:06.933398 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 15, length 64
00:14:07.524228 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 16, length 64
00:14:07.934223 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 16, length 64
00:14:08.525049 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 17, length 64
00:14:08.935455 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 17, length 64
00:14:09.526280 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 18, length 64
00:14:09.936052 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 18, length 64
00:14:10.527892 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 19, length 64
00:14:10.937662 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 19, length 64
00:14:11.529488 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 20, length 64
00:14:11.939065 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 20, length 64
00:14:12.530892 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 21, length 64
00:14:12.940913 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 21, length 64
00:14:13.531695 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 22, length 64
00:14:13.941480 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 22, length 64
00:14:14.533225 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 23, length 64
00:14:14.943208 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 23, length 64
00:14:15.534028 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 24, length 64
00:14:15.943579 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 24, length 64
00:14:16.535395 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 25, length 64
00:14:16.945427 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 25, length 64
00:14:17.536253 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 26, length 64
00:14:17.959889 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 26, length 64
00:14:18.537661 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 27, length 64
00:14:18.952409 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 27, length 64
00:14:19.539155 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 28, length 64
00:14:19.961671 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 28, length 64
00:14:20.540465 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 29, length 64
00:14:21.564195 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 30, length 64
00:14:21.974146 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 30, length 64
00:14:22.564958 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 31, length 64
00:14:23.580205 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 32, length 64
00:14:23.997797 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 32, length 64
00:14:24.581612 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 33, length 64
00:14:25.596198 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 34, length 64
00:14:26.007255 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 34, length 64
00:14:26.596104 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 35, length 64
00:14:27.027294 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 35, length 64
00:14:27.596117 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 36, length 64
00:14:28.023553 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 36, length 64
00:14:28.596361 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 37, length 64
00:14:29.019108 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 37, length 64
00:14:29.596930 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 38, length 64
00:14:30.006580 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 38, length 64
00:14:30.597403 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 39, length 64
00:14:31.007598 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 39, length 64
00:14:31.597426 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 40, length 64
00:14:32.604211 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 41, length 64
00:14:33.027004 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 41, length 64
00:14:33.604708 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 42, length 64
00:14:34.014637 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 42, length 64
00:14:34.603869 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 43, length 64
00:14:35.014508 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 43, length 64
00:14:35.604305 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 44, length 64
00:14:36.015462 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 44, length 64
00:14:36.604284 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 45, length 64
00:14:37.020409 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 45, length 64
00:14:37.604217 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 46, length 64
00:14:38.015127 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 46, length 64
00:14:38.603971 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 47, length 64
00:14:39.014710 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 47, length 64
00:14:39.604517 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 48, length 64
00:14:40.014004 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 48, length 64
00:14:40.604831 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 49, length 64
00:14:41.015246 IP 45.133.192.67 > 10.8.2.3: ICMP echo reply, id 1373, seq 49, length 64
00:14:41.605050 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 50, length 64
00:14:42.620195 IP 10.8.2.3 > 45.133.192.67: ICMP echo request, id 1373, seq 51, length 64
