00:05:24.889594 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 1, length 64
00:05:25.872157 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 2, length 64
00:05:26.424427 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 2, length 64
00:05:26.872176 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 3, length 64
00:05:27.423674 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 3, length 64
00:05:27.872219 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 4, length 64
00:05:28.420214 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 4, length 64
00:05:28.871903 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 5, length 64
00:05:29.422637 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 5, length 64
00:05:29.872336 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 6, length 64
00:05:30.423184 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 6, length 64
00:05:30.871866 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 7, length 64
00:05:31.424743 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 7, length 64
00:05:31.871431 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 8, length 64
00:05:32.422628 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 8, length 64
00:05:32.871315 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 9, length 64
00:05:33.419585 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 9, length 64
00:05:33.871275 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 10, length 64
00:05:34.418597 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 10, length 64
00:05:34.871271 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 11, length 64
00:05:35.419363 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 11, length 64
00:05:35.871050 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 12, length 64
00:05:36.420851 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 12, length 64
00:05:36.871531 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 13, length 64
00:05:37.422298 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 13, length 64
00:05:37.871981 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 14, length 64
00:05:38.426458 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 14, length 64
00:05:38.872179 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 15, length 64
00:05:39.467897 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 15, length 64
00:05:39.872534 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 16, length 64
00:05:40.435302 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 16, length 64
00:05:40.872970 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 17, length 64
00:05:41.481163 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 17, length 64
00:05:41.872790 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 18, length 64
00:05:42.420285 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 18, length 64
00:05:42.872968 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 19, length 64
00:05:43.419333 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 19, length 64
00:05:43.873033 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 20, length 64
00:05:44.436726 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 20, length 64
00:05:44.873403 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 21, length 64
00:05:45.444085 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 21, length 64
00:05:45.873778 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 22, length 64
00:05:46.876214 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 23, length 64
00:05:47.900245 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 24, length 64
00:05:48.463237 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 24, length 64
00:05:48.899925 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 25, length 64
00:05:49.462015 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 25, length 64
00:05:49.899701 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 26, length 64
00:05:50.441874 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 26, length 64
00:05:50.899597 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 27, length 64
00:05:51.447529 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 27, length 64
00:05:51.899230 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 28, length 64
00:05:52.924229 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 29, length 64
00:05:53.549120 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 29, length 64
00:05:53.923741 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 30, length 64
00:05:54.485488 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 30, length 64
00:05:54.924172 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 31, length 64
00:05:55.485566 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 31, length 64
00:05:55.924254 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 32, length 64
00:05:56.493256 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 32, length 64
00:05:56.923922 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 33, length 64
00:05:57.948207 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 34, length 64
00:05:58.518717 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 34, length 64
00:05:58.948379 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 35, length 64
00:05:59.523205 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 35, length 64
00:05:59.947881 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 36, length 64
00:06:00.507735 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 36, length 64
00:06:00.947420 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 37, length 64
00:06:01.499231 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 37, length 64
00:06:01.947928 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 38, length 64
00:06:02.500007 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 38, length 64
00:06:02.947712 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 39, length 64
00:06:03.497528 IP 165.73.240.43 > 10.8.2.3: ICMP echo reply, id 1343, seq 39, length 64
00:06:03.948101 IP 10.8.2.3 > 165.73.240.43: ICMP echo request, id 1343, seq 40, length 64
