21:06:11.953237 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 3, length 64
21:06:12.229618 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 3, length 64
21:06:12.953491 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 4, length 64
21:06:13.230005 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 4, length 64
21:06:13.953992 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 5, length 64
21:06:14.230605 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 5, length 64
21:06:14.954537 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 6, length 64
21:06:15.230602 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 6, length 64
21:06:15.954548 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 7, length 64
21:06:16.231058 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 7, length 64
21:06:16.955015 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 8, length 64
21:06:17.231459 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 8, length 64
21:06:17.955414 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 9, length 64
21:06:18.231832 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 9, length 64
21:06:18.955787 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 10, length 64
21:06:19.238083 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 10, length 64
21:06:19.956033 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 11, length 64
21:06:20.232522 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 11, length 64
21:06:20.956444 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 12, length 64
21:06:21.232504 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 12, length 64
21:06:21.956458 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 13, length 64
21:06:22.232917 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 13, length 64
21:06:22.956862 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 14, length 64
21:06:23.233198 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 14, length 64
21:06:23.957145 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 15, length 64
21:06:24.233334 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 15, length 64
21:06:24.957292 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 16, length 64
21:06:25.233568 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 16, length 64
21:06:25.957526 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 17, length 64
21:06:26.233903 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 17, length 64
21:06:26.957847 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 18, length 64
21:06:27.234124 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 18, length 64
21:06:27.958067 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 19, length 64
21:06:28.234184 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 19, length 64
21:06:28.958116 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 20, length 64
21:06:29.234354 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 20, length 64
21:06:29.958305 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 21, length 64
21:06:30.234797 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 21, length 64
21:06:30.958747 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 22, length 64
21:06:31.234801 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 22, length 64
21:06:31.958750 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 23, length 64
21:06:32.234980 IP 185.130.184.115 > 10.8.1.2: ICMP echo reply, id 673, seq 23, length 64
21:06:32.958932 IP 10.8.1.2 > 185.130.184.115: ICMP echo request, id 673, seq 24, length 64
